UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Tammy Duckworth,@SenDuckworth,2023-11-01T22:26:38.000Z,"Tammy Duckworth
@SenDuckworth
·
Nov 2","Our military families make tremendous sacrifices every day that often go unseen and unrecognized.

This Military Family Appreciation Month, let's take a moment to celebrate them.

I'll always work to help improve the lives of not just our servicemembers, but their loved ones too.",,4,53,201,['https://pbs.twimg.com/ext_tw_video_thumb/1719843348691791872/pu/img/0vpMXQf_7ueSFU8H.jpg'],https://twitter.com/SenDuckworth/status/1719843418988249141
bettina,@lesypersound,2023-11-01T22:21:14.000Z,"bettina
@lesypersound
·
Nov 2","This is .
Israel is out of control —  Dem Party and 
@POTUS
 @SenDuckworth
 @DickDurbin
 all the blood and suffering are on your hands, shame on you.",🗑 😥,,,1,[],https://twitter.com/lesypersound/status/1719842059530457479
.,@nohandlesleft,2023-11-01T22:20:34.000Z,".
@nohandlesleft
·
Nov 2","If only 
@DNC
 could rehabilitate its image and call for #CeasefireForGaza like 
@repdeliaramirez
 oh well guess we gotta replace 
@RepSchakowsky
 @RepRobinKelly
 @SenDuckworth
 @SenatorDurbin
 https://twitter.com/erinrpineda/status/1719543073070293316…",,,,,[],https://twitter.com/nohandlesleft/status/1719841892165153221
Congresswoman Ayanna Pressley,@RepPressley,2023-11-01T21:50:04.000Z,"Congresswoman Ayanna Pressley
@RepPressley
·
Nov 2","Pregnancy loss occurs in 10-15% of known pregnancies, but too many people suffer in silence due to stigma & a lack of awareness.
@SenDuckworth
 & I have a bill to change that by providing families the resources, support & care they need to heal & recover.",,28,15,93,[],https://twitter.com/RepPressley/status/1719834215280263465
Charlie Benavidez,@cabenjr,2023-11-01T21:20:46.000Z,"Charlie Benavidez
@cabenjr
·
Nov 2",".
@janschakowsky
 @SenatorDurbin
 @SenDuckworth
 I urge you to support the people of Israel in their fight against Hamas, not calls for a ""ceasefire"" that would allow terrorists to get away with massacring and kidnapping civilians.",,,,,[],https://twitter.com/cabenjr/status/1719826840917852459
.,@nohandlesleft,2023-11-01T21:09:31.000Z,".
@nohandlesleft
·
Nov 2","People like 
@SenDuckworth
 are saying no ceasefire until the hostages are freed. But what are Palestinians if not a people held hostage under apartheid? #FreeThemAll #CeasefireForGaza",,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1719790295741587456/pu/img/dGzO-IhpPBc-tPHT.jpg'],https://twitter.com/nohandlesleft/status/1719824008453955787
.,@nohandlesleft,2023-11-01T21:05:52.000Z,".
@nohandlesleft
·
Nov 2","The 
@DNC
 sees Israel's genocide as acceptably incidental to achieving imperialist aims. Time for 
@RepSchakowsky
 @RepRobinKelly
 @SenDuckworth
 @SenatorDurbin
 to clarify their values: they are either pro-genocide or not.",⬇,,,,[],https://twitter.com/nohandlesleft/status/1719823092455809535
Jo #CPP,@Jo74596327,2023-11-01T19:45:01.000Z,"Jo #CPP
@Jo74596327
·
Nov 2","#CPP my
@SenJohnKennedy
 @PattyMurray
 @SenDuckworth
 @SenJeffMerkley
 @SenGillibrand
 @ABC
 @NBCNews
 @CBSNews",💔 💔 💔,,,,[],https://twitter.com/Jo74596327/status/1719802747212779774
Tammy Duckworth,@SenDuckworth,2023-11-02T23:26:43.000Z,"Tammy Duckworth
@SenDuckworth
·
Nov 3","Wishing all those who celebrate in Illinois and across the country a safe, joyous Día de los Muertos. As families and friends come together around ofrendas, we remember the loved ones who are no longer with us and celebrate their legacies so they are never, ever forgotten.",,9,27,193,[],https://twitter.com/SenDuckworth/status/1720220923624612198
steven,@taniadegano,2023-11-02T23:06:51.000Z,"steven
@taniadegano
·
Nov 3","It’s so fun getting cowardly, milquetoast canned responses from your senator 
@SenDuckworth
 about a literal genocide that our tax dollars funding",,,,3,[],https://twitter.com/taniadegano/status/1720215927055098262
Tammy Duckworth,@SenDuckworth,2023-11-02T22:11:39.000Z,"Tammy Duckworth
@SenDuckworth
·
Nov 3","Ady Barkan was a fierce activist who helped uphold the ACA to ensure millions of Americans can get the care they need and deserve.

My heart is with Ady's loved ones. May he rest in power.",,10,80,691,[],https://twitter.com/SenDuckworth/status/1720202034152960230
"Senate Commerce, Science, Transportation Committee",@commercedems,2023-11-02T20:46:21.000Z,"Senate Commerce, Science, Transportation Committee
@commercedems
·
Nov 3","Next Thursday: The aviation subcommittee is holding a hearing on addressing close calls to improve aviation safety, led by 
@SenDuckworth
.

With witnesses from 
@NTSB
, 
@FAANews
, 
@NATCA
 and 
@ALPAPilots
.

Tune in on November 9: https://commerce.senate.gov/2023/11/addressing-close-calls-to-improve-aviation-safety…",,7,9,25,[],https://twitter.com/commercedems/status/1720180567025528963
Paul LeBon,@PaulLeBonRI,2023-11-02T20:36:31.000Z,"Paul LeBon
@PaulLeBonRI
·
Nov 3","Congratulations to 
@SenJackReed
 for leading the way to approve heads of Navy and Air Force, getting around 'Jed Clampett' Turbeville blockade. Redneck buffoon.
@SenDuckworth
 @SenSchumer
 @SenWhitehouse",,,,,[],https://twitter.com/PaulLeBonRI/status/1720178095129350472
U.S. EPA Water,@EPAwater,2023-11-03T23:47:02.000Z,"U.S. EPA Water
@EPAwater
·
Nov 4","Today EPA Water head Radhika Fox, 
@SenatorDurbin
, 
@SenDuckworth
, 
@ChicagosMayor
 and others celebrated a $336M #WIFIA loan to help Chicago   replace up to 30,000 lead pipes that deliver water to homes across the city.",,,8,20,['https://pbs.twimg.com/profile_images/632228259879628800/-gvVhzPn_bigger.png'],https://twitter.com/EPAwater/status/1720588424472609095
#IAN1 Author Promotion,@IAN_AuthorPromo,2023-11-03T23:37:00.000Z,"#IAN1 Author Promotion
@IAN_AuthorPromo
·
Nov 4","In ‘We Don’t Want YOU, Uncle Sam’ 2nd Lt. Matthew Weiss, USMC, Examines the Military Recruiting Crisis with Generation Z 
@SenDuckworth
 @HASCDemocrats
 @RepAdamSmith
 @USNavy
 #iartg #foxnews 
@DavidSacks
 @jason
 @MikeforWI
 @RepGallagher
 @michaelgwaltz
 https://unclesambook.org",,,1,,[],https://twitter.com/IAN_AuthorPromo/status/1720585900303041016
