UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Jennifer L Tucker,@ProfJTucker,2023-11-01T22:36:48.000Z,"Jennifer L Tucker
@ProfJTucker
·
Nov 2","Great coverage 
@source_nm
 and 
@austieJFish
 of our white-hot demand for a #ceasefire now to end the war crimes in #Gaza. 

Do the right thing already 
@senatorheinrich
 & 
@SenatorLujan",,,3,6,[],https://twitter.com/ProfJTucker/status/1719845973977878860
Senator Ben Ray Luján,@SenatorLujan,2023-11-01T21:53:31.000Z,"Senator Ben Ray Luján
@SenatorLujan
·
Nov 2","I was honored to join professionals today who work tirelessly to advance digital health care. As a member of 
@HELPCmteDems
, I'll continue to fight for health care investments that are equitable and affordable.",,1,5,24,[],https://twitter.com/SenatorLujan/status/1719835083685650701
Senator Ben Ray Luján,@SenatorLujan,2023-11-01T21:40:50.000Z,"Senator Ben Ray Luján
@SenatorLujan
·
Nov 2","BIG AI week this week & it’s only Wednesday.

On Monday, 
@POTUS
 signed an EO on AI guardrails. The same day, I led my colleagues in introducing bipartisan legislation for 
@NIST
 and 
@ENERGY
 to use facilities at our National Labs to test & evaluate AI to protect you from AI risks.",,3,10,21,[],https://twitter.com/SenatorLujan/status/1719831893355503965
Senator Ben Ray Luján,@SenatorLujan,2023-11-01T20:52:57.000Z,"Senator Ben Ray Luján
@SenatorLujan
·
Nov 2","This month and every month, I honor and celebrate the history and contributions of our 23 Tribes and Pueblos here in New Mexico. Native American Heritage Month is a time for us to reflect, learn, and act to support Tribal Nations and Native people across the country.",,7,7,48,[],https://twitter.com/SenatorLujan/status/1719819842138579013
Catherine Pugh,@CatherineLPugh,2023-11-01T19:59:53.000Z,"Catherine Pugh
@CatherineLPugh
·
Nov 2","Thank you to 
@SenatorLujan
 for providing his real-life health care experiences & how he uses digital health, not to mention his long-time advocacy to increase access for rural & underserved patients",,,2,2,[],https://twitter.com/CatherineLPugh/status/1719806486480597054
georges,@georges16490355,2023-11-01T17:13:59.000Z,"georges
@georges16490355
·
Nov 2",".
@RepTeresaLF
 @MartinHeinrich
 @SenatorLujan
   My grandparents were murdered by the Nazis 80 years ago. Now this.Please support the people of Israel in their fight against Hamas, not just calls for a ""ceasefire"" that would allow terrorists to massacre and kidnap civilians.",,,,,[],https://twitter.com/georges16490355/status/1719764737783632382
Anastacio Griego,@A__Greek,2023-11-01T16:14:57.000Z,"Anastacio Griego
@A__Greek
·
Nov 2","#MMTLPFiasco 
@SenatorHeinrich
 @SenatorLujan
 @Rep_Stansbury
 @RepGabeVasquez
 @RepTeresaLF
 @FSCDems
 @FinancialCmte
 @GOPoversight",,,2,7,[],https://twitter.com/A__Greek/status/1719749879067791573
Anastacio Griego,@A__Greek,2023-11-01T12:29:03.000Z,"Anastacio Griego
@A__Greek
·
Nov 1","#MMTLPFiasco 
@SenatorHeinrich
 @SenatorLujan
 @Rep_Stansbury
 @RepGabeVasquez
 @RepTeresaLF
 @FSCDems
 @FinancialCmte
 @GOPoversight",,,,,[],https://twitter.com/A__Greek/status/1719693028523151849
JH Cole,@ColeHillas,2023-11-02T22:09:40.000Z,"JH Cole
@ColeHillas
·
Nov 3",".
@Gabe_NM
 .
@dccc
 .
@GovMLG
 .
@SenatorHeinrich
 .
@SenatorLujan
 
Every GOP member of congress voted against the American Rescue Plan, which helped 20 child care programs in Grant County stay open, helping working families.  
http://bluecd2nm.com has facts, graphics and more.",,,,,[],https://twitter.com/ColeHillas/status/1720201537069199791
Chris Manning,@Manning4USCong,2023-11-02T21:05:19.000Z,"Chris Manning
@Manning4USCong
·
Nov 3","The only thing ""false"" are 
@SenatorLujan
 financial disclosures with the House AND the Senate. BTW Ben filing false financial disclosures is a felony. If I was an investigative journalist at 
@KOB4
 @koat7news
 @krqe
 @ABQJournal
 I'd be assigning someone to look them over.",,1,,,['https://pbs.twimg.com/ext_tw_video_thumb/1720170741566509057/pu/img/muBR90G51UafjOev.jpg'],https://twitter.com/Manning4USCong/status/1720185340088959427
Senator Ben Ray Luján,@SenatorLujan,2023-11-02T20:10:32.000Z,"Senator Ben Ray Luján
@SenatorLujan
·
Nov 3","Mr. 
@RepThomasMassie
, what you're saying is false.

This technology doesn't track your vehicle's location or randomly switch off cars. It prevents people from driving drunk and saves countless lives.",,1.2K,167,202,['https://pbs.twimg.com/ext_tw_video_thumb/1720170741566509057/pu/img/muBR90G51UafjOev.jpg'],https://twitter.com/SenatorLujan/status/1720171556427510253
Debra Shushan דבורה שושן دبرا شوشان,@DrShushan,2023-11-02T19:21:43.000Z,"Debra Shushan דבורה שושן دبرا شوشان
@DrShushan
·
Nov 3","As settler violence skyrockets, 
@SenatorLujan
 @ChrisVanHollen
 @SenJeffMerkley
 urge the Biden Admin to convey to the Israeli govt its ""responsibility to uphold the rule of law in the West Bank & protect civilians under its jurisdiction, while holding perpetrators... to account.""",🌻 🌻,11,55,107,[],https://twitter.com/DrShushan/status/1720159267435479144
