UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Repeal WEP,@RepealWEP_NOW,2023-11-01T23:39:24.000Z,"Repeal WEP
@RepealWEP_NOW
·
Nov 2","Please sign the H.R. 82 hearing request letter!
#WEP is highly discriminatory
Deadline 11/2/23 at 10 AM
@MarshaBlackburn
@JohnBoozman
@SenKatieBritt
@SenTedBuddNC
@Senlaphonza
@SenCapito
Show more",🖊 ‼ 👇 🖊 ➡ 👮 🛂,,,,[],https://twitter.com/RepealWEP_NOW/status/1719861731516665857
Francina Booker,@FrancinaBooker1,2023-11-01T23:19:46.000Z,"Francina Booker
@FrancinaBooker1
·
Nov 2","https://act.fightcancer.org/a/congress-pass-budget-prioritizes-funding-lifesaving-cancer-research?ms=shareTW&snw=2&ref=1a4f8d4a-c72f-411f-a93d-adf77f3d6263… 
@RepWileyNickel
  @SenTedBuddNC
 @SenTedBuddNC",,,,,[],https://twitter.com/FrancinaBooker1/status/1719856790496551192
John Robinson,@johnrobinson,2023-11-01T21:52:03.000Z,"John Robinson
@johnrobinson
·
Nov 2","NC’s new Senator No, 
@SenTedBuddNC
, strikes again.",,,,3,[],https://twitter.com/johnrobinson/status/1719834713349578879
The Wake Weekly,@WakeWeekly,2023-11-01T20:38:56.000Z,"The Wake Weekly
@WakeWeekly
·
Nov 2","The 
@WF_Chamber
's Government Affairs Committee met with 
@RepDeborahRoss
, 
@SenThomTillis
, 
@RepDonDavis
, 
@SenTedBuddNC
 & 
@JeffJacksonNC
 during last week’s D.C. Fly-In advocacy trip",,,2,1,[],https://twitter.com/WakeWeekly/status/1719816312753475850
Kyle Stewart,@KyleAlexStewart,2023-11-01T17:10:55.000Z,"Kyle Stewart
@KyleAlexStewart
·
Nov 2",".
@SpeakerJohnson
 just walked over to the Senate GOP luncheon, joined by 
@SenRickScott
, 
@SenRonJohnson
 and 
@SenTedBuddNC
. 

He will meet with Senate Republicans as a group for the first time since becoming speaker.",,12,6,21,['https://pbs.twimg.com/ext_tw_video_thumb/1719763834653564928/pu/img/pNLJ1vBT1vTcTRYG.jpg'],https://twitter.com/KyleAlexStewart/status/1719763964085617007
Presley Reeves,@PresNav,2023-11-02T23:54:16.000Z,"Presley Reeves
@PresNav
·
Nov 3","We need action not talking points. End the Fed, end IRS, seal the border, bring the troops home to defend our borders. 
@RepDavidRouzer
 @SenThomTillis
 @SenTedBuddNC
 @GOP
 @GOPChairwoman
 @catturd2",,1,2,1,['https://pbs.twimg.com/media/F98arU9XEAA4fBi.jpg'],https://twitter.com/PresNav/status/1720227860621738407
Diane Yorke,@yorke_diane,2023-11-02T21:35:42.000Z,"Diane Yorke
@yorke_diane
·
Nov 3","Dear 
@sentedbuddnc
, please fund global vaccine programs at the highest levels for FY24. #COVID19 has shown us how critical it is to invest in vaccines that protect against diseases and to strengthen global health systems so that children everywhere can get a 
@ShotAtLife
.",,,,,[],https://twitter.com/yorke_diane/status/1720192986661663002
Jacqueline Mckinney,@Jacquel70277835,2023-11-02T21:30:26.000Z,"Jacqueline Mckinney
@Jacquel70277835
·
Nov 3","Hey 
@repwileynickel
 @senthomtillis
 @sentedbuddnc
! Please cosponsor the #AutismFamilyCaregiversAct (H.R.2965/S.1333) and help caregivers develop the tools to support their children with #autism and other developmental disabilities/delays.",,,,,[],https://twitter.com/Jacquel70277835/status/1720191660900958535
Children's Hospital Association,@hospitals4kids,2023-11-02T19:05:07.000Z,"Children's Hospital Association
@hospitals4kids
·
Nov 3","Thank you 
@SenWarren
, 
@SenFettermanPA
, 
@SenTedBuddNC
 and 
@SenWhitehouse
 for co-sponsoring the Accelerating Kids’ Access to Care Act to help children with complex medical conditions access needed care across state lines! #ThankfulThursday",,,1,3,[],https://twitter.com/hospitals4kids/status/1720155093167755501
Angelika Pittet,@PittetAngelika,2023-11-03T20:05:27.000Z,"Angelika Pittet
@PittetAngelika
·
Nov 4","Thank you for your efforts to update and build on the National Alzheimer's Plan by supporting the NAPA Reauthorization Act of 2023 and the Alzheimer's Accountability and Investment Act 
@senthomtillis
 @sentedbuddnc
 . #NAPAAct #AlzInvestmentAct",,,,,[],https://twitter.com/PittetAngelika/status/1720532662966767835
Rayme Treudeau©,@Rayme_Treudeau,2023-11-03T19:57:07.000Z,"Rayme Treudeau©
@Rayme_Treudeau
·
Nov 4","IS THE DUKE POWER OUTAGE IN SOUTH
CAROLINA AFFECTING NORTH CAROLINA CUSTOMERS?
@markrobinsonNC
 @JonHardister
 
@jdanbishop 
@GuilfordGOP
 
@WilsonNCGOP
@SenTedBuddNC
 
@SenatorBerger
Sure seems like it! 27410 is out again! We need to get meds people!
Fix the Guilford College area!",,1,1,,['https://pbs.twimg.com/tweet_video_thumb/F-CNbXLWMAAAqhr.jpg'],https://twitter.com/Rayme_Treudeau/status/1720530566276092353
michelle dufay,@mdufay,2023-11-03T19:43:57.000Z,"michelle dufay
@mdufay
·
Nov 4","cc: 
@SenTedBuddNC
 Please support this.",,,,1,['https://pbs.twimg.com/amplify_video_thumb/1720464554260418560/img/R7s7wG96o19dvgsE.jpg'],https://twitter.com/mdufay/status/1720527252155257329
Nikola Sandulovic,@Sandulovic_N,2023-11-03T17:10:14.000Z,"Nikola Sandulovic
@Sandulovic_N
·
Nov 4","Again, I point out the problem in time!
@FBI
 @CIA
  @ChrisMurphyCT
 @CNNPolitics
 @DefenseIntel
 @SenateGOP_
 @JudiciaryGOP
      @SenatorMenendez
 @GOP
 @SenTedBuddNC
 @SenThomTillis
 @SenTedCruz
 @SFRCdems
 @DeputySecState
 @DeptofDefense
 @TheJusticeDept
 @USTreasury
 @StateDept
 @WhiteHouse",,9,13,67,[],https://twitter.com/Sandulovic_N/status/1720488567917391905
Doctors Against Forced Organ Harvesting DAFOH,@MDsAgainstFOH,2023-11-03T14:46:54.000Z,"Doctors Against Forced Organ Harvesting DAFOH
@MDsAgainstFOH
·
Nov 3","""One of the most sacred #humanrights is the right to freely practice your religion. The Chinese government has violated these rights for decades""
@SenThomTillis
 @markalfordkc
 @SenTedBuddNC
https://link.theepochtimes.com/mkt_app/china/republicans-introduce-bicameral-legislation-to-combat-ccps-persecution-of-religious-groups-5518949…",,,2,1,[],https://twitter.com/MDsAgainstFOH/status/1720452498756895226
innovIDrsrchr,@Band_Dad,2023-11-04T20:41:54.000Z,"innovIDrsrchr
@Band_Dad
·
Nov 5","There are 364 military promotions remaining that await confirmation by our anti-military + pro-traitor Members of the US Senate(
@SenThomTillis
 @SenTedBuddNC
).  When will they hear from enough #NC constituents to force them to act while wars percolate in Europe and Israel? 
@NCGOP",,,,,[],https://twitter.com/Band_Dad/status/1720904223452246497
"Moe Davis (U.S. Air Force, Retired)",@ColMoeDavis,2023-11-04T12:57:59.000Z,"Moe Davis (U.S. Air Force, Retired)
@ColMoeDavis
·
Nov 4","It’s Veterans Day on Friday.  When 
@SenTedBuddNC
 posts about how he loves America’s Veterans, tell him his actions speak louder than his words.  Budd was 1 of 15 Republican senators who voted this week against funding for the VA.  For Vets, Budd’s a dud.
@votevets
@DAVHQ
@iava",,,71,122,[],https://twitter.com/ColMoeDavis/status/1720787476371923106
Skyleigh Heinen-Uhrich,@Sky_Lee_1,2023-11-04T17:04:59.000Z,"Skyleigh Heinen-Uhrich
@Sky_Lee_1
·
Nov 5","Let’s go 
@SenateGOP
 put your support where your mouths are. 

-
@LeaderMcConnell
, 
@SenThomTillis
 and 
@SenTedBuddNC
 of North Carolina need to step up for the 8 military bases and almost 100,000 active military in this state.",,10,184,351,[],https://twitter.com/Sky_Lee_1/status/1720849636926140613
,@NeilZ4EVA1234U,2023-11-04T17:07:01.000Z,"@NeilZ4EVA1234U
·
Nov 5","anc is a terrorist movement that collapsed South Africa,
@SenatorRisch
 ,
@SenTedBuddNC
 ,
@MarshaBlackburn
 ,
@SenatorBraun",🤖,,8,14,[],https://twitter.com/NeilZ4EVA1234U/status/1720850145368002932
cm.langlade,@cmlanglade92,2023-11-05T22:17:33.000Z,"cm.langlade
@cmlanglade92
·
Nov 6",".
@senthomtillis
 @RepRichHudson
 @sentedbuddnc
 I urge you to support the people of Israel in their fight against Hamas, not calls for a ""ceasefire"" that would allow terrorists to get away with massacring and kidnapping civilians.",☦,,,,[],https://twitter.com/cmlanglade92/status/1721290683309347296
TrUcK LaBoR AdVoCaTe,@Channel19S,2023-11-05T21:28:01.000Z,"TrUcK LaBoR AdVoCaTe
@Channel19S
·
Nov 6","AMEN!! Get control of your city, America! Demand action on this destructive behavior! 
@RepKManning
 @SenThomTillis
 @SenTedBuddNC",,1,2,3,['https://pbs.twimg.com/amplify_video_thumb/1721230690807672832/img/MquDYJVSdKY3NF3j.jpg'],https://twitter.com/Channel19S/status/1721278217749696666
Lee,@Lee96085749,2023-11-05T14:18:45.000Z,"Lee
@Lee96085749
·
Nov 5","It Republicans still insist that the problem is drilling! #RepublicansLieAboutEverything  
@SenThomTillis
 @SenTedBuddNC",☮,,,3,[],https://twitter.com/Lee96085749/status/1721170188400300289
,@NeilZ4EVA1234U,2023-11-05T14:14:11.000Z,"@NeilZ4EVA1234U
·
Nov 5","just want to make sure US trade reps surname is “tai”that came to South Africa to speak to the hamasi supporters terrorists that collapsed South Africa in 30 years,
@realDonaldTrump
 ,
@SenJohnBarrasso
 ,
@MarshaBlackburn
 ,
@Boozman4AR
 ,
@SenatorBraun
 ,
@SenTedBuddNC
 ,
@SenCapito",🤖,1,2,1,[],https://twitter.com/NeilZ4EVA1234U/status/1721169039064526864
Presley Reeves,@PresNav,2023-11-06T21:53:10.000Z,"Presley Reeves
@PresNav
·
Nov 7","Patriots you must teach! Americans need to know they are Sovereign and to end tyranny they must rule as Sovereigns in a Republic! Otherwise there is no liberty! 
@RepDavidRouzer
 @SenThomTillis
 @SenTedBuddNC
 @realDonaldTrump",,,2,2,[],https://twitter.com/PresNav/status/1721646934312501663
Rayme Treudeau©,@Rayme_Treudeau,2023-11-06T18:06:32.000Z,"Rayme Treudeau©
@Rayme_Treudeau
·
Nov 7","We need to get rid of ALL property taxes, & not just decrease it. We also need to stop the NCDOR from taking our property (that we OWN) if we can't pay taxes.
@markrobinsonNC
 @SenTedBuddNC
 
@JonHardister
 
@jdanbishop
@SenTedBuddNC
 
The NCDOR needs to stop threatening us.",,,1,1,[],https://twitter.com/Rayme_Treudeau/status/1721589902339342435
Gol,@goliizz,2023-11-06T16:31:43.000Z,"Gol
@goliizz
·
Nov 7",".
@SenTedBuddNC
 Senator, I called your Washington office today and requested:

Please Co-sponsor the MAHSA Act ( S2626 ) to hold the leadership of Islamic Republic in Iran accountable.

Please meet the Crown Prince Reza Pahlavi.

Looking forward to hearing back. 
Thank you!",➡ ➡,,2,1,[],https://twitter.com/goliizz/status/1721566039673119090
Ossoff's Office,@SenOssoff,2023-11-06T20:42:48.000Z,"Ossoff's Office
@SenOssoff
·
Nov 7","NEW: Sen. Ossoff and Sen. 
@JohnCornyn
 are leading a bipartisan group of Senators urging the Department of Defense to prioritize funding needed to upgrade barracks.

They're joined by 
@SenatorWarnock
, 
@SenMarcoRubio
, 
@SenTedCruz
, & 
@SenTedBuddNC
.",,3,42,122,[],https://twitter.com/SenOssoff/status/1721629227550687725
Just Me,@WolfsMuse,2023-11-07T23:50:48.000Z,"Just Me
@WolfsMuse
·
Nov 8","Don’t, just don’t do it! 
@Jim_Jordan
 @MarshaBlackburn
 @SpeakerJohnson
 @mattgaetz
 @SenTedBuddNC",🤤,,,,[],https://twitter.com/WolfsMuse/status/1722038925705769388
Texas Trucker at large,@Andersonj2273,2023-11-07T21:41:52.000Z,"Texas Trucker at large
@Andersonj2273
·
Nov 8
·","Day# 6 of the shutdown 
Day # 9 of this post to Congress and FMCSA and DOT officials s s 
@SenThomTillis
 @SenTedBuddNC
 @RepKManning
 @RepMarkWalker
 @RepBrianBabin
 @SenTedCruz
 @RepWesterman
 @RepBost
 @RepHanna
 @commercedems
 @TransportDems
 @SecretaryPete
 all for taking notice of…
Show more",,,9,10,[],https://twitter.com/Andersonj2273/status/1722006480017113350
Senator Ted Budd,@SenTedBuddNC,2023-11-07T21:20:04.000Z,"Senator Ted Budd
@SenTedBuddNC
·
Nov 8","It was a true honor to receive the AbilityOne Program's Champion Award for my work in Congress. 

I'll remain committed to empowering North Carolinians with disabilities, especially veterans, to seek out opportunities in the workforce.",,8,4,18,[],https://twitter.com/SenTedBuddNC/status/1722000991732769246
The Real Dave Petri,@davepetri,2023-11-07T21:35:48.000Z,"The Real Dave Petri
@davepetri
·
Nov 8","Another National Security Leader and former official in two 
@gop
 administrations calling out 
@SenTuberville
 on his reckless actions. It’s time for the rest of the 
@SenateGOP
 to step up and demand that Tuberville release his hold on promotions. 
@SenThomTillis
 @SenTedBuddNC",,,,1,[],https://twitter.com/davepetri/status/1722004952623575196
₿RRR …(Rezo),@rezoshm,2023-11-08T22:47:40.000Z,"₿RRR …(Rezo)
@rezoshm
·
Nov 9","Senator 
@SenTedBuddNC
 has introduced the Keep Your Coins Act in the Senate. It aim is to:

► Ensure individuals have the right to 𝐬𝐞𝐥𝐟-𝐜𝐮𝐬𝐭𝐨𝐝𝐲 their crypto assets

► Prohibit federal restrictions on personal cryptocurrency transactions

It might seem straightforward…
Show more",🛡,,1,,[],https://twitter.com/rezoshm/status/1722385426437087635
The Crypto Times,@CryptoTimes_io,2023-11-08T22:29:00.000Z,"The Crypto Times
@CryptoTimes_io
·
Nov 9","Breaking News! 
@SenTedBuddNC
 'Keep Your Coins Act' champions #crypto asset control, shielding users from third-party risks.",,,,,[],https://twitter.com/CryptoTimes_io/status/1722380727218790588
Senator Ted Budd,@SenTedBuddNC,2023-11-08T22:09:35.000Z,"Senator Ted Budd
@SenTedBuddNC
·
Nov 9","Since this morning, at least two more attacks on U.S. forces occurred in Iraq & Syria.

Now it appears the Houthis--backed by Iran--shot down an MQ-9 Reaper drone off the coast of Yemen.

This is due to President Biden's failure to respond appropriately. Weakness provokes…
Show more",,78,27,72,[],https://twitter.com/SenTedBuddNC/status/1722375841059860945
Blue Collar Crypto,@bccryptolearn,2023-11-08T21:59:22.000Z,"Blue Collar Crypto
@bccryptolearn
·
Nov 9","U.S. Senator 
@SenTedBuddNC
 introduces bill to uphold self-custody rights for cryptocurrency owners.",,,,,[],https://twitter.com/bccryptolearn/status/1722373271096615083
Stop the EATS Act,@stopeatsact,2023-11-09T23:56:34.000Z,"Stop the EATS Act
@stopeatsact
·
Nov 10","The 
@smellofmoneydoc
 is about  
@SmithfieldFoods
 and their filthy CAFO hog farms. We must defeat the EATS Act (H.R.4417/S.2019). 
#china #pork #hogs #nationalsecurity #stopeatsact #eatsact cc: 
@SenThomTillis
 @SenTedBuddNC
  @RogerMarshallMD
 @JohnBoozman
 @CongressmanRaja
 @EPA",🐷,1,10,13,['https://pbs.twimg.com/amplify_video_thumb/1715020184589647872/img/MElKw5STfclNQbqk.jpg'],https://twitter.com/stopeatsact/status/1722765152226038169
Alex kennedy,@Alexkennedy30,2023-11-09T21:18:52.000Z,"Alex kennedy
@Alexkennedy30
·
Nov 10",".
@SenTedBuddNC
: Since Wednesday morning, ""at least two more attacks on US forces occurred in Iraq & Syria. Now it appears the Houthis--backed by Iran--shot down an MQ-9 Reaper drone off the coast of Yemen. This is due to President Biden's failure to respond appropriately.…
Show more",,,,,[],https://twitter.com/Alexkennedy30/status/1722725466979663932
Kimberly,@Kim4Liberty,2023-11-09T17:42:33.000Z,"Kimberly
@Kim4Liberty
·
Nov 10","Thank you 
@SenTedBuddNC",,,,3,[],https://twitter.com/Kim4Liberty/status/1722671027640017105
Mike Holland,@MHolland_VA,2023-11-09T18:18:57.000Z,"Mike Holland
@MHolland_VA
·
Nov 10","10:11, your thoughts 
@PatMcCroryNC
? Overcoming the abuse w/ a John Warner style Missile Defense Initiative? The mistrust out there for Boston & Minnesota politicians like 
@SenThomTillis
 & 
@SenTedBuddNC
?
Take the lead w/ Anthony?
https://youtu.be/3-ZAJ1d1CZk?si=0Va7A2K2MrQBtQwy…",,,,,[],https://twitter.com/MHolland_VA/status/1722680188994236856
