UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
hilaoj,@hilaoj,2023-11-01T23:45:57.000Z,"hilaoj
@hilaoj
·
Nov 2",".
@SenAlexPadilla
 please cosponsor #PCHETA! By advancing #palliative care education, awareness & research, PCHETA will improve quality of care & life for millions of patients & families facing serious illnesses. This bipartisan bill is endorsed by 90+ orgs. #HPM #HAPC 
@PatientQoL",,,2,2,[],https://twitter.com/hilaoj/status/1719863376535601346
داهية على الصهاينة,@dahieh48,2023-11-01T23:19:04.000Z,"داهية على الصهاينة
@dahieh48
·
Nov 2","some loser at the office of genocidal liar 
@AlexPadilla4CA
 @SenAlexPadilla
 just laughed at my friend's call for ceasefire and then hung up the phone on them. YOU ARE NEVER GOING TO GET IN OFFICE AGAIN MOTHERFUCKER.",,1,4,10,[],https://twitter.com/dahieh48/status/1719856612406591894
Marcy Winograd,@marcywinograd,2023-11-01T23:06:38.000Z,"Marcy Winograd
@marcywinograd
·
Nov 2",".
@SenAlexPadilla
 @SenSchumer
 @timkaine
 @SenatorMenendez
 @SenJackReed
 Intro a Senate res for #ceasefire in #Gaza. Center for Constitutional Rights has gone to the ICC to demand an investigation into 
@POTUS
 @SecBlinken
 @SecDef
 as accomplices to #Genocide_in_Gaza.",,2,9,13,[],https://twitter.com/marcywinograd/status/1719853484714172775
Senator Alex Padilla,@SenAlexPadilla,2023-11-01T23:01:25.000Z,"Senator Alex Padilla
@SenAlexPadilla
·
Nov 2","NEWS: I just secured over $23 million in funding for projects across CA that would expand and invest in:

 Increasing housing access, services, and supply
Emergency response and disaster preparedness
Transit systems",🚨 🏠 🚊,37,33,166,['https://pbs.twimg.com/media/F94kNRxXUAA_6BX?format=jpg&name=900x900'],https://twitter.com/SenAlexPadilla/status/1719852169581518999
Alex Shultz,@AlexShultz,2023-11-01T20:55:38.000Z,"Alex Shultz
@AlexShultz
·
Nov 2","A reminder that both of California's senators, 
@SenAlexPadilla
 and 
@LaphonzaB
, have ignored repeated requests for comment about whether they believe Bob Menendez should resign from office

https://sfgate.com/politics/article/california-sens-padilla-butler-silent-on-menendez-18424280.php…",,1,3,3,"['https://pbs.twimg.com/profile_images/1036076785312718849/DqKNeMaJ_normal.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1719768778991431680/img/uz6KUu98o_yI6oYo.jpg']",https://twitter.com/AlexShultz/status/1719820518029672487
Senator Alex Padilla,@SenAlexPadilla,2023-11-01T20:28:41.000Z,"Senator Alex Padilla
@SenAlexPadilla
·
Nov 2","California knows all too well the devastating realities of flood damage.

That's why 
@RepLaMalfa
 and I are calling on 
@USACEHQ
 to secure levee repairs before El Niño.",,5,7,18,['https://pbs.twimg.com/card_img/1729666941244309507/vRiEUPeW?format=jpg&name=900x900'],https://twitter.com/SenAlexPadilla/status/1719813735550681553
Betty Kano,@BettyKano,2023-11-01T19:56:27.000Z,"Betty Kano
@BettyKano
·
Nov 2","I just wrote a 
@AACivic
 letter: Ceasefire Now & Stop Funding Israel's Massacre of Palestinians. Write one here: https://actionnetwork.org/letters/tell-congress-to-stop-funding-israels-massacre-of-palestinians?source=twitter&… #CeasefireNow 
@RepKatiePorter
 @RepLouCorrea
 @RepYoungKim
 @RepSteel
 @RepMarkTakano
 @RepJudyChu
 @SenAlexPadilla
 @RepAdamSchiff",,,,,['https://pbs.twimg.com/card_img/1729689264063971328/59RADaYj?format=jpg&name=large'],https://twitter.com/BettyKano/status/1719805621271511114
Senator Alex Padilla,@SenAlexPadilla,2023-11-02T23:45:00.000Z,"Senator Alex Padilla
@SenAlexPadilla
·
Nov 3","The Senate just stood up for our veterans by passing my legislation with 
@SenatorBraun
 and 
@RepPeteAguilar
––the Wounded Warrior Access Act––to make it easier for them to access their hard-earned benefits.

I look forward to 
@POTUS
 swiftly signing this important bill into law.",,5,8,49,[],https://twitter.com/SenAlexPadilla/status/1720225525891768739
caligirl,@cali_n8vgrl,2023-11-02T23:08:34.000Z,"caligirl
@cali_n8vgrl
·
Nov 3","Do it for the humanity. And they will know your name As a peacekeeper not a warmonger. 
@SenAlexPadilla
@ChrisMurphyCT
@RepJeffries
@AOC
@TheDemocrats
#Orthodox Jews support #Palestinians
The Gaza majority (under 18 yo) didnt vote for Hamas terrorist group",,,,,[],https://twitter.com/cali_n8vgrl/status/1720216358322086079
Senator Alex Padilla,@SenAlexPadilla,2023-11-02T22:45:00.000Z,"Senator Alex Padilla
@SenAlexPadilla
·
Nov 3","NEWS: 
@EPA
 will allow CA to move forward with our strengthened emissions standards for existing locomotives.

California has long been a leader in the fight for clean air, and I'm glad to see 
@EPA
 answer my calls and finalize its locomotives pre-emption rule.",🚆,8,6,49,[],https://twitter.com/SenAlexPadilla/status/1720210426112114708
Señor Burton McFeeley,@SenorBurton,2023-11-02T22:29:12.000Z,"Señor Burton McFeeley
@SenorBurton
·
Nov 3","Mom says we just called our Fedrill repurrsentatives 
@SenAlexPadilla
 @Senlaphonza
 @RepGaramendi
 
to support #GazaCeasefire. We worry every day about all the innocent souls at risk including our dear friends
@helpcatsmsallam
 @LoverHomeless
 

We pray for peace for all beings ",,,,2,[],https://twitter.com/SenorBurton/status/1720206451472539826
Aida Porteneuve,@aidapa25,2023-11-02T21:57:51.000Z,"Aida Porteneuve
@aidapa25
·
Nov 3",".
@RepRobertGarcia
 @SenAlexPadilla
 @LaphonzaB
 we can end gun violence. I urge you to support more robust background check legislation, safe storage laws, and a ban on assault and high capacity weapons. The time is now. 
@justice_ucc",,,,1,[],https://twitter.com/aidapa25/status/1720198560451641430
sarah,@cardgamebets,2023-11-03T23:52:16.000Z,"sarah
@cardgamebets
·
Nov 4","can’t wait to talk to you again tomorrow! and the next day! and the next day! and the day after that! 
@SenAlexPadilla",💌 ✨ 💌 ✨,,,1,[],https://twitter.com/cardgamebets/status/1720589741861867792
Lavina varghese,@lavina_varghese,2023-11-03T23:52:07.000Z,"Lavina varghese
@lavina_varghese
·
Nov 4","Pass #HWRA . Strengthen the healthcare workforce. 
@ABC
 @FoxNews
 @NorthsideHosp
 @CalHospitals
 @NebHospitals
 @RepSchneider
 @AmerMedicalAssn
 @ANAPresident
 @EmoryHospMed
 @FLHospitalAssn
 @SenKevinCramer
 @RepSchneider
 @SenToddYoung
 @RandPaul
 @SenAlexPadilla
 @amyklobuchar
 @tweetAONL",,,3,2,[],https://twitter.com/lavina_varghese/status/1720589704628666476
Dr. Betina Hsieh 謝原真,@ProfHsieh,2023-11-03T23:50:11.000Z,"Dr. Betina Hsieh 謝原真
@ProfHsieh
·
Nov 4","I’m so deeply disappointed in the response I received to my message for a #CeasefireForGazaNOW from 
@SenAlexPadilla
 which failed to name & acknowledge the death of more than 9,000 Palestinians.",,2,4,23,[],https://twitter.com/ProfHsieh/status/1720589219465465960
bummer without b,@bummer_no_b,2023-11-03T23:44:23.000Z,"bummer without b
@bummer_no_b
·
Nov 4","After I emailed my senator (
@SenAlexPadilla
) to call for a ceasefire and stop US funding of the genocide in Gaza, he expressed his intention to continue supporting the Israeli military infrastructure. 

I wrote him a response, if you’d like to read it.",,2,,17,[],https://twitter.com/bummer_no_b/status/1720587758249644298
Libertarian Party of Orange County,@oclibertarians,2023-11-03T23:32:10.000Z,"Libertarian Party of Orange County
@oclibertarians
·
Nov 4","How are you working on fixing this problem?
@SenAlexPadilla
 @RepKatiePorter
 

Congress sets & passes the budget.
Congress provides oversight.
Stop automatic budget increases!
Stop foreign aid.
Close foreign bases.
Bring the troops home.",,,,1,[],https://twitter.com/oclibertarians/status/1720584686693658629
Dhyan We all have a DIVINE RIGHT to LIFE,@DPrabhata,2023-11-04T23:01:14.000Z,"Dhyan We all have a DIVINE RIGHT to LIFE
@DPrabhata
·
Nov 5","#GenevaConvention must be adhered to by the occupation forces in Palestine.  The U.S. must STOP sending weapons and funds to a government that keeps Palestinians in a #concentration_camp 
@SenAlexPadilla
 @LaphonzaB
 @SpeakerJohnson
 @SpeakerPelosi
 @SenSchumer
 @LeaderMcConnell",⚡,,,,[],https://twitter.com/DPrabhata/status/1720939287200604463
Senator Alex Padilla,@SenAlexPadilla,2023-11-04T21:55:27.000Z,"Senator Alex Padilla
@SenAlexPadilla
·
Nov 5","November is Native American Heritage Month––a time to honor the rich history, cultures, and contributions of Indigenous People throughout America.",,18,26,84,[],https://twitter.com/SenAlexPadilla/status/1720922733435908519
CHIRLA Action Fund,@chirlafund,2023-11-04T21:12:23.000Z,"CHIRLA Action Fund
@chirlafund
·
Nov 5","How will you support 
@SenAlexPadilla
 ‘s Registry Bill? 

“As an organizer I am committed to working with senator Padilla and unite our community to put pressure on Congress to update the Registry Bill .”

-
@RepBarbaraLee
 

#WinningCalifornia 
#UpdateTheRegistry",,,2,4,[],https://twitter.com/chirlafund/status/1720911893567791173
Brian Chinn,@sfgiantsdad,2023-11-04T19:16:18.000Z,"Brian Chinn
@sfgiantsdad
·
Nov 5",".
@speakerpelosi
 @SenAlexPadilla
 @LaphonzaB
 Please support an additional $321 million in annual funding for Alzheimer's research activities at the National Institutes of Health #ENDALZ",,,,,[],https://twitter.com/sfgiantsdad/status/1720882681993695613
Lavina varghese,@lavina_varghese,2023-11-04T19:02:30.000Z,"Lavina varghese
@lavina_varghese
·
Nov 5","Pass #HWRA 
@USCIS
 @SecMartyWalsh
 @USCISDirector
 @RandPaul
 @ANAPresident
 @tweetAONL
 @CGFNS
 @LindseyGrahamSC
 @SenSchumer
 @AAIHRNews
 @AvantHealthcare
 @ahahospitals
 @FLHospitalAssn
 @NebHospitals
 @CalHospitals
 @NorthsideHosp
 @EmoryHospMed
 @ABC
 @GradyHealth
 @SenAlexPadilla
 @ossoff",,,1,1,[],https://twitter.com/lavina_varghese/status/1720879209227165880
Senator Alex Padilla,@SenAlexPadilla,2023-11-05T23:31:20.000Z,"Senator Alex Padilla
@SenAlexPadilla
·
Nov 6","Angela and I were honored to join 
@csunorthridge
 to celebrate the 50th Anniversary of their Public Health Program. With hundreds of community partnerships throughout the region, CSUN is at the forefront preparing the educated and trained healthcare workforce of tomorrow.",,15,5,46,[],https://twitter.com/SenAlexPadilla/status/1721309251769885134
Senator Alex Padilla,@SenAlexPadilla,2023-11-05T21:10:28.000Z,"Senator Alex Padilla
@SenAlexPadilla
·
Nov 6","Democrats continue to deliver jobs and economic growth for the middle class, meanwhile House GOP leaders want to set us back decades by:
 
Increasing costs of prescription drugs
Cutting taxes for the ultra-wealthy
Shipping jobs overseas
Banning abortion",📈 💸 🗺 ❌,21,5,23,[],https://twitter.com/SenAlexPadilla/status/1721273802225483870
Sam,@samcomarcus,2023-11-05T20:00:31.000Z,"Sam
@samcomarcus
·
Nov 6",".
@RepScottPeters
 @SenAlexPadilla
 @LaphonzaB
 I urge you to support the people of Israel in their fight against Hamas, not calls for a ""ceasefire"" that would allow terrorists to get away with massacring and kidnapping civilians.",,,,,[],https://twitter.com/samcomarcus/status/1721256196123046393
E.,@flowerw1tch,2023-11-05T18:00:08.000Z,"E.
@flowerw1tch
·
Nov 6","Hi 
@SenAlexPadilla
: As your constituent, I'm urging you to demand a #CeasefireNOW Palestinians in Gaza are living through genocide as Israel bombs, starves, and displaces them. Their lives are on the line with every passing second

Stop the killing! Speak up now!",,,,,[],https://twitter.com/flowerw1tch/status/1721225902657552413
