UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
David Shepardson,@davidshepardson,2023-11-01T22:23:44.000Z,"David Shepardson
@davidshepardson
·
Nov 2","This is great 
@SenEricSchmitt",,,,3,"['https://pbs.twimg.com/profile_images/1622812808655036419/WCFHSGBJ_normal.jpg', 'https://pbs.twimg.com/media/F94KIcEWcAAkCfD?format=jpg&name=900x900']",https://twitter.com/davidshepardson/status/1719842689343017388
Senator Eric Schmitt,@SenEricSchmitt,2023-11-01T19:20:37.000Z,"Senator Eric Schmitt
@SenEricSchmitt
·
Nov 2","My bipartisan bill with 
@SenatorHick
, the Launch Communications Act, passed the Senate last night.

This is an important bill for commercial space innovation, which is critical to our national security.",,1,1,7,[],https://twitter.com/SenEricSchmitt/status/1719796605073641840
Legiswipe,@legiswipe,2023-11-01T16:00:09.000Z,"Legiswipe
@legiswipe
·
Nov 2","""Launch Communications Act""

Status: Passed Senate with amendments by Unanimous Co...

https://congress.gov/bill/118th-congress/senate-bill/1648/text…

Sponsor: 
@SenEricSchmitt",,,,,[],https://twitter.com/legiswipe/status/1719746153627931064
Legiswipe,@legiswipe,2023-11-01T12:30:09.000Z,"Legiswipe
@legiswipe
·
Nov 1","""Launch Communications Act""

Status: Passed Senate with amendments by Unanimous Co...

https://congress.gov/bill/118th-congress/senate-bill/1648/text…

Sponsor: 
@SenEricSchmitt",,,,,[],https://twitter.com/legiswipe/status/1719693307259887985
SEC FB BB FAN,@CliffDogStL1,2023-11-01T01:00:14.000Z,"SEC FB BB FAN
@CliffDogStL1
·
Nov 1","NOT A DRAG QUEEN!
NOT A TRANS KID!
@LauraAnnSTL
 @piper4missouri
 @RepEricBurlison
 @RepMarkAlford
 @SenEricSchmitt
 @SenHawleyPress
 @BenBakerMO
 @DLHoskins",,,,1,"['https://pbs.twimg.com/profile_images/1538185178467782663/cQlroiSe_normal.jpg', 'https://pbs.twimg.com/media/F9xg3acXMAANktR?format=jpg&name=small']",https://twitter.com/CliffDogStL1/status/1719519684465209731
Jane,@PlaintanJane,2023-11-01T00:57:08.000Z,"Jane
@PlaintanJane
·
Nov 1","Good for 
@LeaderMcConnell
 

@SenatorBraun
  @SenKevinCramer
  @MarshaBlackburn
@SenDanSullivan
@SenJoniErnst
@RogerMarshallMD
 
@SenSusanCollins
@SteveDaines
@SenThomTillis
@LindseyGrahamSC
Show more",,1,2,3,"['https://pbs.twimg.com/media/F9z1KcXb0AATj9k?format=jpg&name=medium', 'https://pbs.twimg.com/profile_images/1036076785312718849/DqKNeMaJ_normal.jpg']",https://twitter.com/PlaintanJane/status/1719518905486700837
Senator Eric Schmitt,@SenEricSchmitt,2023-11-02T20:47:00.000Z,"Senator Eric Schmitt
@SenEricSchmitt
·
Nov 3",Proud to have worked with Senator Hickenlooper on the Launch Communications Act!,,3,1,6,[],https://twitter.com/SenEricSchmitt/status/1720180730414956658
Senator Mike Braun,@SenatorBraun,2023-11-02T20:13:21.000Z,"Senator Mike Braun
@SenatorBraun
·
Nov 3
·","There’s been a lot of positive momentum for the Promising Pathway Act following our hearing last week. Thank you to our new cosponsors 
@SenatorShaheen
 @SenAlexPadilla
 @SenVancePress
 @SenEricSchmitt
 @LindseyGrahamSC
 for your support! It’s time we pass PPA for the patient…
Show more",,71,35,78,[],https://twitter.com/SenatorBraun/status/1720172261766766835
Senator Eric Schmitt,@SenEricSchmitt,2023-11-02T19:34:00.000Z,"Senator Eric Schmitt
@SenEricSchmitt
·
Nov 3","Reminder: In Joe Biden’s America, if you haven’t gotten a 17.1% raise, you’ve effectively gotten a pay cut.",,40,35,137,[],https://twitter.com/SenEricSchmitt/status/1720162359530881263
Digital Liberty,@DigitalLiberty,2023-11-02T19:09:47.000Z,"Digital Liberty
@DigitalLiberty
·
Nov 3"," NEW: 
@SenEricSchmitt
 demands answers on 
@FCC
’s power-grab.
#netneutrality",🚨,,,,[],https://twitter.com/DigitalLiberty/status/1720156265886654807
Jonathan Cannon,@JMLCannon,2023-11-02T18:59:33.000Z,"Jonathan Cannon
@JMLCannon
·
Nov 3","Great letter from 
@SenEricSchmitt
 “ I have strong concerns that a massive
regulation such as net neutrality would erode all the gains providers have made to bridge the
digital divide, stifle innovation, and deter further investments in U.S. networks.”",,,5,14,[],https://twitter.com/JMLCannon/status/1720153690005201393
Washington Examiner,@dcexaminer,2023-11-02T18:53:50.000Z,"Washington Examiner
@dcexaminer
·
Nov 3","Republican 
@SenEricSchmitt
 says he sent letter to Eventbrite criticizing its 'hypocrisy' 

DETAILS: https://trib.al/5Pr8dkY",,5,4,6,[],https://twitter.com/dcexaminer/status/1720152251690356997
