UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Paying Attention,@AttentionPaying,2023-11-01T22:28:04.000Z,"Paying Attention
@AttentionPaying
·
Nov 2","If “people familiar with the matter” are correct, 

Explore less
@SenatorBennet
 @SenatorHick
 @RepJasonCrow
 @POTUS",🔸 🤯,,,,[],https://twitter.com/AttentionPaying/status/1719843779329339808
Senator John Hickenlooper,@SenatorHick,2023-11-01T21:42:03.000Z,"Senator John Hickenlooper
@SenatorHick
·
Nov 2","Great to hear that Dr. Barbara Zind, a pediatrician from Grand Junction who was in Gaza providing volunteer medical care, was able to leave Gaza today and is safe and sound.

Grateful for diplomatic efforts to get her home.",,10,9,59,[],https://twitter.com/SenatorHick/status/1719832198419747009
LWCF Coalition,@LWCFCoalition,2023-11-01T21:32:21.000Z,"LWCF Coalition
@LWCFCoalition
·
Nov 2","Thank you 
@SenatorCantwell
 @SenatorHick
 @SenatorShaheen
 @SenateSmallBiz
 for highlighting #LWCF funded conservation as key to supporting the outdoor rec economy & small businesses across the nation!",,,,,[],https://twitter.com/LWCFCoalition/status/1719829756143648855
Senator Eric Schmitt,@SenEricSchmitt,2023-11-01T19:20:37.000Z,"Senator Eric Schmitt
@SenEricSchmitt
·
Nov 2","My bipartisan bill with 
@SenatorHick
, the Launch Communications Act, passed the Senate last night.

This is an important bill for commercial space innovation, which is critical to our national security.",,1,1,7,[],https://twitter.com/SenEricSchmitt/status/1719796605073641840
PatientQoL Coalition,@PatientQoL,2023-11-01T19:15:35.000Z,"PatientQoL Coalition
@PatientQoL
·
Nov 2",".
@SenatorHick
 Please cosponsor #PCHETA! It will advance palliative care education, awareness & research and improve quality of care & quality of life for millions of patients & families facing serious illness. This bipartisan bill is endorsed by 90+ orgs. 
@PatientQoL
 #HPM #HAPC",,,,,[],https://twitter.com/PatientQoL/status/1719795337098084655
Senator John Hickenlooper,@SenatorHick,2023-11-01T17:46:59.000Z,"Senator John Hickenlooper
@SenatorHick
·
Nov 2","AI is not all doom and gloom like you see in the movies. It has the potential to positively change the way all of us do our jobs, all while keeping American workers competitive ",🎥 ⬇,8,4,17,['https://pbs.twimg.com/media/F93pYpVWcAAXrZw.jpg'],https://twitter.com/SenatorHick/status/1719773042669162641
Somos Votantes,@SomosVotantes,2023-11-01T16:21:00.000Z,"Somos Votantes
@SomosVotantes
·
Nov 2","When it comes to good-paying jobs, working people deserve leaders who look ahead and look out for us. WATCH 
@SenatorHick
 explain why we must give working people the tools they need to turn AI in the workplace into an opportunity.",,,,1,['https://pbs.twimg.com/ext_tw_video_thumb/1719750492459237382/pu/img/BnCGemzMEmeX3zZF.jpg'],https://twitter.com/SomosVotantes/status/1719751402778394675
FrawdDawg,@PeterJ1955,2023-11-01T15:52:28.000Z,"FrawdDawg
@PeterJ1955
·
Nov 1","Hey 
@DeionSanders
, this is the CA of 
@GavinNewsom
 & 
@TheDemocrats
. 
@SenatorHick
 @SenatorBennet
 more Bidenomics in action.",,,,,[],https://twitter.com/PeterJ1955/status/1719744220863533460
Legiswipe,@legiswipe,2023-11-01T15:30:09.000Z,"Legiswipe
@legiswipe
·
Nov 1","""ORBITS Act of 2023""

Status: Passed Senate with an amendment by Unanimous ...

https://congress.gov/bill/118th-congress/senate-bill/447/text…

Sponsor: 
@SenatorHick",,,,1,[],https://twitter.com/legiswipe/status/1719738604891586604
Senator John Hickenlooper,@SenatorHick,2023-11-02T21:11:14.000Z,"Senator John Hickenlooper
@SenatorHick
·
Nov 3","Let’s see what the hype around AI-generated images is all about…
 
As we take our economy to the next level, it’s going to take skill, training, and PEOPLE to leverage the benefits of AI.",,16,9,39,['https://pbs.twimg.com/media/F99UP1uWcAAeVA1.jpg'],https://twitter.com/SenatorHick/status/1720186832246219130
Serge Savard,@SergeSavar23627,2023-11-02T20:22:20.000Z,"Serge Savard
@SergeSavar23627
·
Nov 3","With affordable housing, families can climb the economic ladder and kids can do better in school. #CutsHurt kids and punish low-income families. PLEASE expand rather than slash this critical funding! 
@RepJoeNeguse
 @SenatorHick
 @SenatorBennet",,,,,[],https://twitter.com/SergeSavar23627/status/1720174524044374442
Nic Austin,@NicAustinTKTK,2023-11-02T20:21:43.000Z,"Nic Austin
@NicAustinTKTK
·
Nov 3","We need to support and elect younger, more progressive leaders, because we will no longer accept these tone-deaf and meaningless responses. 
@SenatorHick
, you are not representing Coloradans with this inaction. #Colorado #FreePalestine #CeasefireNOW",,1,1,1,[],https://twitter.com/NicAustinTKTK/status/1720174370750886373
"The Kintsugi system says: Free , Ceasefire now",@Kintsugisys,2023-11-02T20:19:23.000Z,"The Kintsugi system says: Free , Ceasefire now
@Kintsugisys
·
Nov 3","This goes out to 
@SenatorHick
 and 
@SenatorBennet
.  

You both voted to affirm the resolution to stand by a fascist state that's committing #Genocide. 

The result of your actions is that thousands more have died in the following weeks.
Show some ethical backbone, call for a ce",,,,,[],https://twitter.com/Kintsugisys/status/1720173783732859030
Senator John Hickenlooper,@SenatorHick,2023-11-02T18:43:58.000Z,"Senator John Hickenlooper
@SenatorHick
·
Nov 3","Even Republicans realize that Senator Tuberville’s unthinkable holds on 300+ military promotions are hurting our national security.

No senator should use our military in a political game.",,66,32,145,[],https://twitter.com/SenatorHick/status/1720149770482614440
FIIDSUSA,@FIIDSUSA,2023-11-03T23:35:46.000Z,"FIIDSUSA
@FIIDSUSA
·
Nov 4","We thank & support 
@SenKevinCramer
 @SenatorHick
 re-introducing #EAGLEAct  n 
@SenatorDurbin
 #HealthcareResilienceAct for #MeritBased #Immigration Wiill help #US #industry #healthcare industry n well-deserving #taxpaying #talented #professionals https://cramer.senate.gov/news/press-releases/sen-cramer-leads-legislation-prioritizing-merit-based-immigration-address-shortage-of-doctors-and-nurses… 
@khanderao",,,16,28,[],https://twitter.com/FIIDSUSA/status/1720585589903565096
Senator John Hickenlooper,@SenatorHick,2023-11-03T22:26:23.000Z,"Senator John Hickenlooper
@SenatorHick
·
Nov 4","Space junk poses a real issue to satellites and human space travel. Even a piece the size of a penny, which moves through orbit at 15x the speed of a bullet, can destroy a satellite! Senate passage of our ORBITS Act is a step in the right direction ",🌎 🚀 🛰,23,18,51,[],https://twitter.com/SenatorHick/status/1720568129690988647
Paying Attention,@AttentionPaying,2023-11-03T22:25:41.000Z,"Paying Attention
@AttentionPaying
·
Nov 4","Can and should
Will we get a ‘will’? 
(else it’s easy, give no US $ to deliberately target civilians)  
they can do things that aren’t a ceasefire, if they want to
  
@RepJasonCrow
 @SenatorBennet
 @SenatorHick",🔸,,,,['https://pbs.twimg.com/profile_images/1653450164210630659/oPRqz0j6_bigger.jpg'],https://twitter.com/AttentionPaying/status/1720567953249202261
Slingshot Aerospace,@sling_shot_aero,2023-11-03T21:14:46.000Z,"Slingshot Aerospace
@sling_shot_aero
·
Nov 4","We are thrilled that the U.S. Senate has passed the ORBITS Act! Thank you 
@SenatorHick
 for your unwavering leadership on this important issue.",,1,,6,[],https://twitter.com/sling_shot_aero/status/1720550107790135742
Senator John Hickenlooper,@SenatorHick,2023-11-03T20:50:06.000Z,"Senator John Hickenlooper
@SenatorHick
·
Nov 4","Reproductive rights are under attack across the country, and it’s more important than ever to protect easy access to affordable birth control.

Joined 47 of my Senate colleagues in calling for health insurance companies to fully cover over-the-counter contraceptives.",,26,24,77,[],https://twitter.com/SenatorHick/status/1720543901763665972
Senator John Hickenlooper,@SenatorHick,2023-11-04T21:18:02.000Z,"Senator John Hickenlooper
@SenatorHick
·
Nov 5","Israel must defend itself against the threat of Hamas, but the toll in civilian deaths in Gaza makes clear we urgently need a humanitarian pause.",,118,24,111,[],https://twitter.com/SenatorHick/status/1720913316871127541
Robert Treta(Denver Mayoral Candidate)169420,@RobertTreta,2023-11-04T20:28:58.000Z,"Robert Treta(Denver Mayoral Candidate)169420
@RobertTreta
·
Nov 5","Say a struggling denver resident makes $20k a year off an Airbnb rental. If the governor gets his way … $15k of that will go towards taxes. Think about that . 
@javier_mabrey
 @GovofCO
 @MikeJohnstonCO
 @Shontel4Council
 @shoffman239
 @FlorForDenver
 @DarrellBWatson
 @SenatorHick",,2,,3,[],https://twitter.com/RobertTreta/status/1720900969091699044
Paying Attention,@AttentionPaying,2023-11-04T19:00:17.000Z,"Paying Attention
@AttentionPaying
·
Nov 5"," @RepJasonCrow
 @SenatorBennet
 @SenatorHick
 
Give them all the things.
planes flying around denver today looked bored, get  some better use out of them ",🔸 ⤵,,,,[],https://twitter.com/AttentionPaying/status/1720878652026438090
Robert Treta(Denver Mayoral Candidate)169420,@RobertTreta,2023-11-04T17:00:22.000Z,"Robert Treta(Denver Mayoral Candidate)169420
@RobertTreta
·
Nov 5","So let me get this straight , my property taxes are going up 40% and then 400% after that because I Airbnb a room to pay bills. Absolutely not. So a $3000 tax bill goes to $16,800 in one year? No 
@jgebbia
 @javier_mabrey
 @Shontel4Council
 @GovofCO
  @SenatorHick
 @MikeJohnstonCO",,1,,2,[],https://twitter.com/RobertTreta/status/1720848471597457494
Christie Morin,@MsNudelman,2023-11-04T16:46:06.000Z,"Christie Morin
@MsNudelman
·
Nov 5",".
@SenatorHick
 @SenatorBennet
 Thank you for supporting the NAPA Reauthorization Act (S.133/H.R.619) and the Alzheimer's Accountability and Investment Act (S.134/H.R.620). Please continue encouraging your colleagues to join you in support of these bills. #ENDALZ",,,,,[],https://twitter.com/MsNudelman/status/1720844882129109233
Beautiful Lake,@Shaina41466050,2023-11-05T19:43:32.000Z,"Beautiful Lake
@Shaina41466050
·
Nov 6","No place for supporting segregation and/or the genocide of Palestinian children, mothers, and/or communities. 
@GovofCO
 @POTUS
 @SenatorBennet
 @SenatorHick
 @RepPettersen
 @RepJasonCrow
 @RepDianaDeGette
 @FaithWinterCO
 @VP
 @FLOTUS",,,,,[],https://twitter.com/Shaina41466050/status/1721251925415322026
Paying Attention,@AttentionPaying,2023-11-05T16:54:31.000Z,"Paying Attention
@AttentionPaying
·
Nov 6","@RepJasonCrow
 @SenatorBennet
 @SenatorHick",🔸 ⤵,,,,[],https://twitter.com/AttentionPaying/status/1721209388453486607
DKrueger,@DKrueger86,2023-11-05T13:40:20.000Z,"DKrueger
@DKrueger86
·
Nov 5","Stop Biden's Secret Federal Funding of Billions to Afghan's Taliban Terrorist Organization!

@SenBennetCo 
@SenatorHick
 @RepJoeNeguse
 @jaredpolis",,,,,[],https://twitter.com/DKrueger86/status/1721160519241887997
TxhaiKILLsky,@TchaiKILLsky,2023-11-05T03:01:43.000Z,"TxhaiKILLsky
@TchaiKILLsky
·
Nov 5","This is war crimes, this is genocide! 
@SenatorHick
 @JoeBiden",,,2,5,['https://pbs.twimg.com/ext_tw_video_thumb/1720917113202774016/pu/img/OvOxpLXk08czYBhX.jpg'],https://twitter.com/TchaiKILLsky/status/1720999809186779448
Sarah T. Fischell,@estee_nj,2023-11-05T01:55:06.000Z,"Sarah T. Fischell
@estee_nj
·
Nov 5","Thanks Sen. Hickenlooper 
@SenatorHick
 for speaking today to the 
@citizensclimate
 Fall Conference today about the BIG WIRES Act #BigWires and permitting reform. #GrassrootsClimate #CCL2023",,,2,2,[],https://twitter.com/estee_nj/status/1720983041718284466
SocialJusticeNow,@now_justice,2023-11-06T22:24:23.000Z,"SocialJusticeNow
@now_justice
·
Nov 7","Stop sitting on your hands and fix the vacancies reform act!
@SenateDems
 @SenatorDurbin
 @SenatorBennet
 @SenatorHick
 @SenSchumer
 
#VoteBlueToSaveDemocracy",,,,,[],https://twitter.com/now_justice/status/1721654788574880109
Funding Circle US,@FundingCircleUS,2023-11-06T21:32:10.000Z,"Funding Circle US
@FundingCircleUS
·
Nov 7","Thank you 
@SenatorHick
 for your continued partnership and support!
This wouldn’t have been possible without your leadership on the bipartisan bicameral “Expanding Access to Credit for Small Businesses Act”",,,,2,['https://pbs.twimg.com/profile_images/1613249477841674268/cX_b0XRo_normal.jpg'],https://twitter.com/FundingCircleUS/status/1721641650730979606
Senator John Hickenlooper,@SenatorHick,2023-11-06T20:56:02.000Z,"Senator John Hickenlooper
@SenatorHick
·
Nov 7","Small businesses drive our local communities, but many small businesses in rural or low-income areas find it difficult to access capital. These new licenses will allow more capital to reach underserved small businesses, including through a CO-based lending company: Funding Circle",,6,9,32,['https://pbs.twimg.com/profile_images/983366426147901440/HAUiEgyx_normal.jpg'],https://twitter.com/SenatorHick/status/1721632556737614094
Rep. Lloyd Smucker,@RepSmucker,2023-11-06T20:02:39.000Z,"Rep. Lloyd Smucker
@RepSmucker
·
Nov 7","Too many hard-working Americans are not able to prepare financially for retirement. That’s why I’ve joined with 
@RepTerriSewell
, 
@SenThomTillis
 and 
@SenatorHick
 to introduce the bipartisan and bicameral Retirement Savings for Americans Act. Watch:",,9,2,7,['https://pbs.twimg.com/card_img/1730728255098167296/CZwTsMnV?format=jpg&name=240x240'],https://twitter.com/RepSmucker/status/1721619120922177590
CarbonCure Technologies,@CarbonCure,2023-11-06T19:21:02.000Z,"CarbonCure Technologies
@CarbonCure
·
Nov 7","Thanks to 
@SenatorHick
 for your question on #CarbonUtilization at the U.S. Senate hearing on CCUS & DAC technologies. We were also glad to hear Asst. Sec. for 
@ENERGY
's FECM Brad Crabtree note #Concrete (via tech like ours) as both a carbon mineralization & reduction opportunity!",,1,1,6,['https://pbs.twimg.com/ext_tw_video_thumb/1721607478125752320/pu/img/zR4v-o9ILv7aXSJD.jpg'],https://twitter.com/CarbonCure/status/1721608649280258454
CFIR,@CFIRofAFSC,2023-11-06T19:20:33.000Z,"CFIR
@CFIRofAFSC
·
Nov 7","Palestinian Coloradans mourn family losses as they watch Israeli war devastate Gaza. #CeasefireNOW 
@RepDianaDeGette
 @RepJasonCrow
 @RepJoeNeguse
 @RepCaraveoMD
 @RepPettersen
 @RepKenBuck
 @RepBoebert
 @RepDLamborn
  @SenatorHick
 @SenatorBennet
  https://denverpost.com/2023/11/05/colorado-palestinians-israel-war-gaza/… via 
@denverpost",,,,1,['https://pbs.twimg.com/card_img/1731315500150304769/6VpJe3Ix?format=jpg&name=small'],https://twitter.com/CFIRofAFSC/status/1721608527506977138
Judy Cardenas,@JudyCar24296264,2023-11-06T19:16:48.000Z,"Judy Cardenas
@JudyCar24296264
·
Nov 7","I will be there Nov 13, 14 #hr2920 #hr1698 
@vp
 @potus
 @SenatorHick",,1,8,8,"['https://pbs.twimg.com/profile_images/1036025098011123713/sg8Ib5rl_normal.jpg', 'https://pbs.twimg.com/media/F-MenAYXoAA4SoP?format=jpg&name=900x900']",https://twitter.com/JudyCar24296264/status/1721607583872549106
Judy Cardenas,@JudyCar24296264,2023-11-06T19:12:46.000Z,"Judy Cardenas
@JudyCar24296264
·
Nov 7","Please read, care about 1.7 million American Citizens who simply ask to legally live with their spouses. Meet USC Nov 14 
@VP
 @POTUS
 @SenateDems
@SenatorHick
 @CNN",,,4,4,['https://pbs.twimg.com/card_img/1731133687087923200/TTtxHkbu?format=jpg&name=900x900'],https://twitter.com/JudyCar24296264/status/1721606567148060859
Senator John Hickenlooper,@SenatorHick,2023-11-07T23:57:41.000Z,"Senator John Hickenlooper
@SenatorHick
·
Nov 8","Folks, the Senate just hit a HUGE milestone. 

Today we confirmed the 100th woman and 150th judge to serve on the federal bench since President Biden took office. THIS is how we ensure justice and protect our rights.",,49,96,537,[],https://twitter.com/SenatorHick/status/1722040657626226974
Ealasha Vaughner,@EalashaVaughner,2023-11-07T22:48:24.000Z,"Ealasha Vaughner
@EalashaVaughner
·
Nov 8","Thank you 
@SenatorHick
 for your continued support for working families and young children!!!",,,,,[],https://twitter.com/EalashaVaughner/status/1722023220696478193
lydiaincolorado,@lydiaincolorado,2023-11-07T22:45:36.000Z,"lydiaincolorado
@lydiaincolorado
·
Nov 8","Thank you 
@SenatorHick
 for supporting working families and young children.",,,,,[],https://twitter.com/lydiaincolorado/status/1722022517957636127
