UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Mom Skelton,@MomSkelton,2023-11-01T22:14:22.000Z,"Mom Skelton
@MomSkelton
·
Nov 2","REPUBLICANS HARMED American Military leader
How many more American military VOTERS does GOP plan to harm?
@SenJohnThune
 #2 
#GOPFailsUSMilitary",,,,,[],https://twitter.com/MomSkelton/status/1719840331234177199
Mom Skelton,@MomSkelton,2023-11-01T18:25:53.000Z,"Mom Skelton
@MomSkelton
·
Nov 2","GOP increases deficit by $12.5 BILLION
#IRS
In 4 yrs, GOP added $8 TRILLION rich tax cuts, to US DEBT

GOP $8 TRILLION is 1/4th
one Quarter of ENTIRE 200yr+ US DEBT
@SenJohnThune
 @keloland
 @KTNV
GOPs smokescreen for HANDOUTS to billionaires and large corporations.",,,,,[],https://twitter.com/MomSkelton/status/1719782830568555006
Senator John Thune,@SenJohnThune,2023-11-01T18:16:23.000Z,"Senator John Thune
@SenJohnThune
·
Nov 2","Three consecutive years of record-breaking illegal border crossings and a surge in migrants on the terrorist watchlist.

It’s clear: Biden’s border policies threaten our national security.

We need to secure the southern border.",,44,13,53,['https://pbs.twimg.com/media/F93il5gWwAEKQky.jpg'],https://twitter.com/SenJohnThune/status/1719780439836021138
Mom Skelton,@MomSkelton,2023-11-01T18:06:19.000Z,"Mom Skelton
@MomSkelton
·
Nov 2","GOP sides with Russia 
How many more children, civilian deaths does GOP assist Russia 
@SenJohnThune
@RepDustyJohnson
 GOP House votes against our ally Ukraine, Civilian life & Democracy helping Putin 
@MeidasTouch
 @ProjectLincoln",,,,1,[],https://twitter.com/MomSkelton/status/1719777905612603871
Michael Reilly,@MichaelSDTX,2023-11-01T18:00:33.000Z,"Michael Reilly
@MichaelSDTX
·
Nov 2","#UkraineRussiaWar 
#Ukraine 
#AidUkraine 
#IsraelPalestineConflict 
#IsraelWar 
#Israelunderattack 
@RepDustyJohnson
 
@SenatorRounds
 
@SenJohnThune
 
@SouthDakotaGOP
 

Please work to insure that aid to Israel is not packaged with or made contingent upon continued aid to Ukraine.…
Show more",,,,,[],https://twitter.com/MichaelSDTX/status/1719776455964414381
EllynThomps,@EllynThomps,2023-11-02T21:26:18.000Z,"EllynThomps
@EllynThomps
·
Nov 3","McGrath : “the Pro-Putin Party has had NINE MONTHS to allow 
@TTuberville
 to prevent promotions in the Military”.
To be fair, he had help. 
@chuckschumer
 
@LeaderMcConnell
 @joniernst
 @SenJohnThune
 @SenJohnBarrasso",,,,,[],https://twitter.com/EllynThomps/status/1720190622605234528
Senator John Thune,@SenJohnThune,2023-11-02T21:19:36.000Z,"Senator John Thune
@SenJohnThune
·
Nov 3","Make no mistake: Biden's border crisis is a direct result of his failed policies.

Border security is national security.

Senate Republicans are committed to finding solutions to secure the border and keep Americans safe.",,60,22,47,[],https://twitter.com/SenJohnThune/status/1720188936499192206
NABIP,@nabipsocial,2023-11-02T20:51:50.000Z,"NABIP
@nabipsocial
·
Nov 3","Breaking News: The Senate introduced two bills that address employer reporting requirements. Thank you 
@MarkWarner
, 
@SenToddYoung
, 
@SenJohnThune
, and 
@SenCortezMasto
 for your tremendous bipartisan leadership on this critical issue. 
@nabipsocial
  statement:
https://nabip.org/newsroom/press-releases…",,,,1,[],https://twitter.com/nabipsocial/status/1720181948172193910
Senator John Thune,@SenJohnThune,2023-11-02T20:39:52.000Z,"Senator John Thune
@SenJohnThune
·
Nov 3","Let me be clear: Antisemitism cannot be tolerated.

The dangerous rhetoric, especially at universities (the so-called bastions of diversity), must end.",,34,20,70,[],https://twitter.com/SenJohnThune/status/1720178935969796501
Got halted 4 the Criminals,@teekay5150,2023-11-02T20:21:07.000Z,"Got halted 4 the Criminals
@teekay5150
·
Nov 3",".
@SenJohnThune
 Your public support is vital in the ongoing review of #MMTLP The SEC received a letter from the Committee on Financial Services requesting a thorough investigation. I urge you to sign a letter in support of this important inquiry. #FairMarketsNow",,,,,[],https://twitter.com/teekay5150/status/1720174217243586928
Mom Skelton,@MomSkelton,2023-11-03T23:58:47.000Z,"Mom Skelton
@MomSkelton
·
Nov 4","Judge Kaplan has ordered an anonymous jury for Trump's upcoming civil trial,
re: E. Jean Carroll, (rape trial), CITING Trump's ATTACK on Judge Engoron's CLERK.

GOP candidate, his attorneys, his senators continue to ATTACK women,
US House HR431, BANS BIRTH CONTROL
@SenJohnThune",,,2,,[],https://twitter.com/MomSkelton/status/1720591381595648232
Mom Skelton,@MomSkelton,2023-11-03T23:50:39.000Z,"Mom Skelton
@MomSkelton
·
Nov 4","GOP Trump State Dept App. CONVICTED of 8 Felonies
“A federal judge convicted a former United States STATE DEPARTMENT appointee Thursday on 8 FELONY counts for joining the ASSAULT on POLICE inside a TUNNEL at the U.S. Capitol on Jan. 6, 2021,” 
@SenJohnThune",,,,,[],https://twitter.com/MomSkelton/status/1720589335018520610
Mom Skelton,@MomSkelton,2023-11-03T22:00:02.000Z,"Mom Skelton
@MomSkelton
·
Nov 4","GOP Sen Tubberville thinks ""Federal subordinate employees"" can do ANY job

Have Florida resident, GOP Senator Tubberville's staff go VOTE on the US senate floor..

WRNMMC-Walter Reed MILITARY Nurses may now perform surgeries, per GOP Senator
@LindseyGrahamSC
 @SenJohnThune
 #2",,,,,[],https://twitter.com/MomSkelton/status/1720561500740628876
NumbersUSA,@NumbersUSA,2023-11-03T20:01:36.000Z,"NumbersUSA
@NumbersUSA
·
Nov 4","""We need to use every tool we can to secure the border and keep terrorists and criminals out of the United States.” 
@SenJohnThune
https://thune.senate.gov/public/index.cfm/press-releases…",,1,4,10,[],https://twitter.com/NumbersUSA/status/1720531693747015851
Skyleigh Heinen-Uhrich,@Sky_Lee_1,2023-11-03T19:40:28.000Z,"Skyleigh Heinen-Uhrich
@Sky_Lee_1
·
Nov 4","Yes 
@SenateGOP
 absolutely object the damage being done by 
@SenTuberville
 reckless hold on military promotions for his extremism. 

We need 
@LeaderMcConnell
 @SenateGOP
 to put actions behind their words, 
@SenJohnThune
 it’s time to change the rules.",,13,136,258,['https://pbs.twimg.com/media/F-Brs-UXAAAKPRe.jpg'],https://twitter.com/Sky_Lee_1/status/1720526374853566679
,@schmoopiemom,2023-11-04T20:42:06.000Z,"@schmoopiemom
·
Nov 5",".
@gop
.
@SenJohnThune
 .
@SenatorRounds
 .
@RepDustyJohnson
 .
@govkristinoem
 

#PartyOfFamilyValuesLies
#PartyOfFamilyValuesCheats
#PartyOfFamilyValuesSteals
#PartyOfFamilyValuesHasNoValues",💙 🤍 ❤ 🍾 🥳,,1,1,[],https://twitter.com/schmoopiemom/status/1720904273268019317
RINO Free South Dakota,@RINOFreeSD,2023-11-04T20:32:47.000Z,"RINO Free South Dakota
@RINOFreeSD
·
Nov 5","This is the result of the Federal Reserve fiat system that's devaluing the dollar because politicians like 
@RepDustyJohnson
, 
@SenJohnThune
 and 
@SenatorRounds
 love to SPEND BORROW SPEND. They are all RINOs.  Just look at their Liberty Score! #SouthDakota voters must replace them.",🔊 🤨,,,,[],https://twitter.com/RINOFreeSD/status/1720901930996629627
Deborah Kemp,@Deborah33742319,2023-11-04T18:47:55.000Z,"Deborah Kemp
@Deborah33742319
·
Nov 5","End the dangerous Republican blockade 
@LeaderMcConnell
 @SenJohnThune
 @SenJohnBarrasso
 @JohnCornyn
 @SenDanSullivan",🌻,,,,[],https://twitter.com/Deborah33742319/status/1720875538028679615
Deborah Kemp,@Deborah33742319,2023-11-04T17:56:09.000Z,"Deborah Kemp
@Deborah33742319
·
Nov 5","End the dangerous Republican blockade 
@LeaderMcConnell
 @SenJohnThune
 @SenJohnBarrasso
 @JohnCornyn",🌻,,,,['https://pbs.twimg.com/media/F-CAe7TWMAEzdTU.jpg'],https://twitter.com/Deborah33742319/status/1720862510335836230
,@schmoopiemom,2023-11-04T14:48:57.000Z,"@schmoopiemom
·
Nov 4",".
@gop
.
@SenJohnThune
 .
@SenatorRounds
 .
@RepDustyJohnson
 .
@govkristinoem
 

#PartyOfFamilyValuesLies
#PartyOfFamilyValuesCheats
#PartyOfFamilyValuesSteals
#PartyOfFamilyValuesHasNoValues",💙 🤍 ❤ 🍾 🥳,,1,1,[],https://twitter.com/schmoopiemom/status/1720815402190622819
