UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
ElectBitcoin.org,@ElectBitcoinOrg,2023-11-01T23:17:15.000Z,"ElectBitcoin.org
@ElectBitcoinOrg
·
Nov 2",".
@SenCortezMasto
 has a new  item on her record! Current Grade: ""D""

If Sen. Cortez Masto represents YOU in congress, ask her to support an open and inclusive financial system for all! #Bitcoin 

https://ElectBitcoin.org/nevada/catheria/catherine-cortez-masto/…",👎,,,,[],https://twitter.com/ElectBitcoinOrg/status/1719856153763422302
ElectBitcoin.org,@ElectBitcoinOrg,2023-11-01T22:17:10.000Z,"ElectBitcoin.org
@ElectBitcoinOrg
·
Nov 2",".
@SenCortezMasto
 has a new  item on her record! Current Grade: ""D""

If Sen. Cortez Masto represents YOU in congress, ask her to support an open and inclusive financial system for all! #Bitcoin 

https://ElectBitcoin.org/nevada/catheria/catherine-cortez-masto/…",👎,,,,[],https://twitter.com/ElectBitcoinOrg/status/1719841035159773215
Senator Cortez Masto,@SenCortezMasto,2023-11-01T21:45:00.000Z,"Senator Cortez Masto
@SenCortezMasto
·
Nov 2","I just voted for funding legislation with strong bipartisan support to protect our national security and our veterans and deliver relief for our working families.

It's time for my colleagues in the House to stop playing games and get to work to pass these critical funding bills.",,13,10,23,[],https://twitter.com/SenCortezMasto/status/1719832938697609390
𝔼𝕝𝕝𝕚𝕠𝕥 𝕄𝕒𝕝𝕚𝕟,@ElliotMalin,2023-11-01T20:51:58.000Z,"𝔼𝕝𝕝𝕚𝕠𝕥 𝕄𝕒𝕝𝕚𝕟
@ElliotMalin
·
Nov 2","Thank you, 
@SenCortezMasto
.",,,,1,[],https://twitter.com/ElliotMalin/status/1719819593760571419
Savonna Maki,@SavonnaMaki,2023-11-01T20:51:19.000Z,"Savonna Maki
@SavonnaMaki
·
Nov 2","Prove him wrong 
@GOP
 @DNC
 @FBI
 @JoeBiden
 @realDonaldTrump
 @usgov
  @SenCortezMasto
 @SenJackyRosen
 
Release the #Epstein list.",,,,,[],https://twitter.com/SavonnaMaki/status/1719819429423599821
Senator Cortez Masto,@SenCortezMasto,2023-11-01T20:44:00.000Z,"Senator Cortez Masto
@SenCortezMasto
·
Nov 2","This outrageous antisemitism has no place in Nevada. I will always stand with our Jewish community and work to ensure every Nevadan feels safe.

We must condemn antisemitism and hate in our communities.",,29,59,206,[],https://twitter.com/SenCortezMasto/status/1719817587771527329
TriStrat,@StrategiesTri,2023-11-01T20:10:04.000Z,"TriStrat
@StrategiesTri
·
Nov 2","Spencer Flanders joins Team TriStrat. Flanders brings years of advocacy and government affairs experience to the firm, having worked for 
@SenCortezMasto
 and Assemblymember 
@ElaineMarzola
. 
http://wix.to/e8j7fOs
#TriStat #PeopleOnTheMove #NVLEG",,2,1,6,[],https://twitter.com/StrategiesTri/status/1719809050400137339
Senator Cortez Masto,@SenCortezMasto,2023-11-01T19:22:00.000Z,"Senator Cortez Masto
@SenCortezMasto
·
Nov 2","Great news - 
@BLMNational
 has approved a project in Nevada that will create over 100 new jobs and deliver more than half of the critical vanadium supply we need to power our clean energy transition.

This is good for Nevada, and for the clean energy future we're working to build.",,19,7,10,[],https://twitter.com/SenCortezMasto/status/1719796951720300666
Happy Drum Man,@HappydrummerMan,2023-11-02T21:01:24.000Z,"Happy Drum Man
@HappydrummerMan
·
Nov 3","So her logic is to keep borders open to kill our people. Where do #Democrats find these incompetents? 
@repdinatitus
 @SenCortezMasto
 @RepSusieLee
 @HouseDemocrats
 @SenJackyRosen",⬇,,,,['https://pbs.twimg.com/amplify_video_thumb/1720181354648817666/img/ZrKjdS0rsuPCj8nv.jpg'],https://twitter.com/HappydrummerMan/status/1720184354616512576
Senator Cortez Masto,@SenCortezMasto,2023-11-02T20:56:00.000Z,"Senator Cortez Masto
@SenCortezMasto
·
Nov 3","I'm joining a bipartisan group of Senators pushing the Biden Admin to fix a proposed rule that would slow down permitting and put our clean energy supply chain at risk.
 
We have to work together to streamline permits so we can create more clean energy jobs.",,30,10,38,[],https://twitter.com/SenCortezMasto/status/1720182995536286069
NABIP,@nabipsocial,2023-11-02T20:51:50.000Z,"NABIP
@nabipsocial
·
Nov 3","Breaking News: The Senate introduced two bills that address employer reporting requirements. Thank you 
@MarkWarner
, 
@SenToddYoung
, 
@SenJohnThune
, and 
@SenCortezMasto
 for your tremendous bipartisan leadership on this critical issue. 
@nabipsocial
  statement:
https://nabip.org/newsroom/press-releases…",,,,1,[],https://twitter.com/nabipsocial/status/1720181948172193910
NVethics,@NVethics,2023-11-02T20:46:02.000Z,"NVethics
@NVethics
·
Nov 3","Big hospital systems & private equity are buying up small physician practices & charging patients higher rates. Even though the care & office is the exact same, patients are charged more for routine health care services when the logo on the door changes. 
@SenCortezMasto
 #SITEAct",,,,1,[],https://twitter.com/NVethics/status/1720180488038719663
Happy Drum Man,@HappydrummerMan,2023-11-02T20:23:33.000Z,"Happy Drum Man
@HappydrummerMan
·
Nov 3","#Democrats 
@repdinatitus
 @SenCortezMasto
 @RepSusieLee
 @HouseDemocrats
 @SenJackyRosen
 love their pedophiles.",😮,,,,[],https://twitter.com/HappydrummerMan/status/1720174829087965280
Senator Cortez Masto,@SenCortezMasto,2023-11-03T22:45:53.000Z,"Senator Cortez Masto
@SenCortezMasto
·
Nov 4","For Nevadans recovering from fentanyl and other drug addictions, access to telehealth services is essential.

That's why my colleagues and I have introduced the TREATS Act, to maintain access to telehealth services and continue to expand care for all Nevadans.",,13,10,31,[],https://twitter.com/SenCortezMasto/status/1720573036431053176
Senator Cortez Masto,@SenCortezMasto,2023-11-03T20:38:00.000Z,"Senator Cortez Masto
@SenCortezMasto
·
Nov 4","My legislative, press, and in-state interns are doing an incredible job every day helping me advocate for Nevada. If you're interested in an internship with my office in Spring 2024, please apply by Nov. 15.

Check out my website for more information. ",⬇,16,13,13,[],https://twitter.com/SenCortezMasto/status/1720540853398339755
User1FirstName,@User1N,2023-11-03T17:43:16.000Z,"User1FirstName
@User1N
·
Nov 4","I don't affiliate with either evil party (D) nor (R)----they're BOTH EVIL! 
@SenJackyRosen
 @SenCortezMasto
----WTF IS WRONG WITH YOU EVIL KHUNTS?-----JAN 6TH WAS COMPLETE BULLSHIT!

YOU STOLE THE 2020 ELECTION!!!----THIS IS WAR & YOU TWO KHUNTS ARE THE ENEMIES WITHIN!!!!!",,,,,[],https://twitter.com/User1N/status/1720496882558861707
Senator Cortez Masto,@SenCortezMasto,2023-11-03T16:38:23.000Z,"Senator Cortez Masto
@SenCortezMasto
·
Nov 4","Since 1985, the U.S.-Israel Free Trade Agreement has grown our economies and deepened the ties between our nations. I'm proud to join 
@MarshaBlackburn
 in leading a resolution to reaffirm our commitment to this pact and strengthen our economic ties to Israel.",,24,8,8,[],https://twitter.com/SenCortezMasto/status/1720480551080005839
McKenzie Wilson,@McKenzieAWilson,2023-11-03T14:45:24.000Z,"McKenzie Wilson
@McKenzieAWilson
·
Nov 3","thank you, thank you, thank you 
@SenCortezMasto
 for always standing up for survivors ",💜,,1,3,[],https://twitter.com/McKenzieAWilson/status/1720452117989617699
Senator Cortez Masto,@SenCortezMasto,2023-11-04T21:11:01.000Z,"Senator Cortez Masto
@SenCortezMasto
·
Nov 5","This week's jobs report is great news for Nevada families, but I'm not stopping here.

We have more to do to create more opportunities for Nevadans and lower costs, and I'm going to keep working in the Senate with 
@SenateDems
 to lead that fight for our working families.",,20,27,53,[],https://twitter.com/SenCortezMasto/status/1720911552121844185
User1FirstName,@User1N,2023-11-04T17:16:57.000Z,"User1FirstName
@User1N
·
Nov 5","Don't ever ask 
@SenJackyRosen
 or 
@SenCortezMasto
 about little kids getting #Raped #Pedos #Molested #Murdered & #EatingChildren......they're on #TeamEvil---you know---the people who hide the 
#EpsteinClientList!",😳 💀,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1717932178409951232/pu/img/AHjv1RZ-IjGobQPV.jpg'],https://twitter.com/User1N/status/1720852646167224392
Senator Cortez Masto,@SenCortezMasto,2023-11-04T16:54:47.000Z,"Senator Cortez Masto
@SenCortezMasto
·
Nov 5","It's simple: birth control should be available over the counter, with no out-of-pocket cost or a prescription.

Now that the 
@US_FDA
 has approved the first OTC birth control in the country, I'm pushing to make sure women can afford it.",,17,16,79,[],https://twitter.com/SenCortezMasto/status/1720847066358788321
David Adame,@DavidAdameCPLC,2023-11-04T16:30:36.000Z,"David Adame
@DavidAdameCPLC
·
Nov 5","This organization is making a positive impact in having more Latino representation on Corporate Boards. I am gratified to be a member 
@GPEC
 @GPLInc
 @LULAC
 @JMurguia_Unidos
 @NALCAB
 @HispanicCaucus
 @SenCortezMasto
 @SenatorSinema
 @RubenGallego
 @SenatorLujan
 @AlexPadilla4CA",,,,2,[],https://twitter.com/DavidAdameCPLC/status/1720840981166342421
User1FirstName,@User1N,2023-11-04T16:23:33.000Z,"User1FirstName
@User1N
·
Nov 5","You can't just kick out a squatter / tweaker / drug addict / bum out of your house in Nevada if they have......wait for it.......A FUCKING TOOTHBRUSH!!!---NO JOKE!!---KHUNTS LIKE 
@SenJackyRosen
 & 
@SenCortezMasto
 & OTHER #Communists MAKE IT IMPOSSIBLE FOR PROPERTY OWNERS' RIGHTS!",,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1719044541309685760/pu/img/ev8jg_Zb5zYO6Evn.jpg'],https://twitter.com/User1N/status/1720839207495622982
Senator Cortez Masto,@SenCortezMasto,2023-11-05T22:20:48.000Z,"Senator Cortez Masto
@SenCortezMasto
·
Nov 6","On this day in 1968, Shirley Chisholm became the first African American woman ever elected to Congress. She fought hard her entire career to overcome discrimination and blazed a trail for future generations to follow. I'm proud to celebrate her incredible legacy today.",,21,49,100,[],https://twitter.com/SenCortezMasto/status/1721291500078686650
Senator Cortez Masto,@SenCortezMasto,2023-11-05T16:32:27.000Z,"Senator Cortez Masto
@SenCortezMasto
·
Nov 6","Addiction therapy through telehealth is already helping Nevadans in rural communities recover from drugs like fentanyl and other opiates. This works.

Now, I'm working to maintain access so more Nevadans can get the addiction care they need.",,22,71,187,[],https://twitter.com/SenCortezMasto/status/1721203836130333116
Rajneeti - রাজনীতি,@RajneetiBD,2023-11-05T12:03:00.000Z,"Rajneeti - রাজনীতি
@RajneetiBD
·
Nov 5","Three busses torched in Dhaka before BNP-Jamat's 48-hours nationwide blockade

#Politics #Nationalism #FireTerror  #Tareque #Zia #Power #Progress #Attack #Case 
@ChrisCoons
 @SenCortezMasto
 @CortezMasto",,,,1,['https://pbs.twimg.com/ext_tw_video_thumb/1721135558410584064/pu/img/wHvY-HOnKQG1j_T_.jpg'],https://twitter.com/RajneetiBD/status/1721136025836359795
Senator Cortez Masto,@SenCortezMasto,2023-11-05T01:42:33.000Z,"Senator Cortez Masto
@SenCortezMasto
·
Nov 5","When my grandmother was diagnosed with Alzheimer's, my whole family rallied to care for her. It's personal to me.

So this #AlzheimersAwarenessMonth, I'm proud to join families and advocates all across the country to fight for the investments in treatment and research they need.",,12,16,59,[],https://twitter.com/SenCortezMasto/status/1720979886058201222
Senator Cortez Masto,@SenCortezMasto,2023-11-06T23:08:02.000Z,"Senator Cortez Masto
@SenCortezMasto
·
Nov 7","Senate Republicans’ harmful proposal isn’t a serious effort to secure the border — it would make things worse, not better.

Instead of playing politics, they should work with us to crack down on drugs coming across the border and get more resources to officers on the front lines.",,21,19,39,[],https://twitter.com/SenCortezMasto/status/1721665774736015692
Rethinking Eve,@RethinkingEve,2023-11-06T22:25:16.000Z,"Rethinking Eve
@RethinkingEve
·
Nov 7","Where are you women Senators?  Where are your voices? 
@SenGillibrand
  @maziehirono
 @SenDuckworth
 @SenWarren
  @SenStabenow
 @SenAmyKlobuchar
 @SenTinaSmith
  @SenatorShaheen
 @SenatorHassan
  @SenCortezMasto
  @SenJackyRosen
 @PattyMurray
 @SenatorCantwell
  @SenatorBaldwin
 @LaphonzaB
…
Show more",🐘,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1721311235290120192/pu/img/ElaQ4FDyoPi3g7cV.jpg'],https://twitter.com/RethinkingEve/status/1721655012256837881
Pat G,@PatGinSD2,2023-11-06T21:52:18.000Z,"Pat G
@PatGinSD2
·
Nov 7","It's not a ""war"". It is a genocide. By their words...
@POTUS
 @FLOTUS
 @SecBlinken
 @SenAlexPadilla
 @SenSanders
 @SenWarren
 @SenWhitehouse
 @SenBrianSchatz
 @SenBlumenthal
 @SenBooker
 @SenCortezMasto
 @SenCoonsOffice
 
#StopFundingIsrael #StopGenocideInGaza",🖤 💛 ❤ 👇,,,,[],https://twitter.com/PatGinSD2/status/1721646714338308117
Senator Cortez Masto,@SenCortezMasto,2023-11-06T21:20:00.000Z,"Senator Cortez Masto
@SenCortezMasto
·
Nov 7","Fraudsters and scammers are trying to take advantage of our veterans and steal the benefits they earned fighting to keep us safe.

Enough is enough - I've introduced legislation to crack down on these scams and protect our veterans.",,24,18,35,[],https://twitter.com/SenCortezMasto/status/1721638586833948764
