UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Eugene-Springfield DSA,@DSA_Eugene,2023-11-01T23:51:03.000Z,"Eugene-Springfield DSA
@DSA_Eugene
·
Nov 2","The Eugene-Springfield chapter of the Democratic Socialists of America, in solidarity with the Palestinian trade union movement's global call to action, urge our federal elected officials Val Hoyle, Ron Wyden, and Jeff Merkley to...",🌲 🌹 🤝,2,16,37,['https://pbs.twimg.com/card_img/1729393237218017280/poQHTVCv?format=jpg&name=900x900'],https://twitter.com/DSA_Eugene/status/1719864660697002296
Sol,@forwardarc,2023-11-01T17:41:59.000Z,"Sol
@forwardarc
·
Nov 2","Why is US perfectly fine with Israeli settler violence , ethnic cleansing, & land grabs?  
@ChrisMurphyCT
 @CoryBooker
 @JeffMerkley
 @BenCardinforMD
 @SenatorShaheen
 @ChrisCoons
 @timkaine
 @brianschatz
 @ChrisVanHollen
 @TammyDuckworth
 @SecDef
 @USUN",,2,5,6,['https://pbs.twimg.com/profile_images/759478721808068608/F5s3fgyl_normal.jpg'],https://twitter.com/forwardarc/status/1719771782582771769
Jeff Merkley,@JeffMerkley,2023-11-01T17:38:56.000Z,"Jeff Merkley
@JeffMerkley
·
Nov 2","We have a plastic pollution crisis. It poisons our air, water, land, and bodies. So, I introduced the Break Free From Plastic Pollution Act to ban toxins, hold polluters accountable, and reduce single-use plastics. Let’s get it done to protect our planet and our health!",,25,51,184,[],https://twitter.com/JeffMerkley/status/1719771015633617271
mustafa chakmak,@Mustafachakmak,2023-11-01T16:28:27.000Z,"mustafa chakmak
@Mustafachakmak
·
Nov 2","Lawmakers are questioning why Costco is still selling surveillance equipment made by Lorex, given concerns about cybersecurity risks and human rights abuses. The bipartisan letter from U.S. Rep. Christopher Smith and Sen. Jeff Merkley asks for an explanation from the retail …",,,,,[],https://twitter.com/Mustafachakmak/status/1719753276835365274
JO (DisplacedDaisy),@DaisyOfDistance,2023-11-02T23:02:13.000Z,"JO (DisplacedDaisy)
@DaisyOfDistance
·
Nov 3","This is as glib an endorsement of #genocide as I've ever heard. 
@SenWarren
 @SenSanders
 @JeffMerkley
 @RonWyden
 @SenateDems
 @HouseDemocrats
 Are you all OKAY WITH THIS? If so, YOU are NOT representing the American people.",,1,2,1,"['https://pbs.twimg.com/profile_images/1665546594618589189/sv8C1mBh_normal.jpg', 'https://pbs.twimg.com/media/F98dW1WaYAAl8kE?format=jpg&name=900x900']",https://twitter.com/DaisyOfDistance/status/1720214759503720774
Steve Aamodt,@saamodt,2023-11-02T22:39:32.000Z,"Steve Aamodt
@saamodt
·
Nov 3","Please stop killing beautiful, innocent babies. 
@JeffMerkley",,,1,,['https://pbs.twimg.com/profile_images/1102808872018894848/GbEeWg3U_normal.png'],https://twitter.com/saamodt/status/1720209050133020872
Jeff Merkley,@JeffMerkley,2023-11-02T22:12:01.000Z,"Jeff Merkley
@JeffMerkley
·
Nov 3","After the extremist Supreme Court overturned Roe v. Wade, Republicans in at least 21 states passed abortion bans or heavily restricted access. These laws put folks’ health at risk. 

I’ve said it before, and I’ll say it again: We must enshrine Roe v. Wade into federal law!",,66,101,339,[],https://twitter.com/JeffMerkley/status/1720202126083883084
Sean Roome,@RoomeSean,2023-11-02T19:27:02.000Z,"Sean Roome
@RoomeSean
·
Nov 3",".
@JeffMerkley
 @RonWyden
 @RepBonamici
, I sincerely hope you all are doing everything in your power to advocate for an immediate de-escalation and ceasefire in Gaza. You’ve all been great representatives of my district but you NEED to be on the right side of history on this!",,,,1,[],https://twitter.com/RoomeSean/status/1720160608342167932
UO Advocates,@UOAdvocates,2023-11-02T17:58:48.000Z,"UO Advocates
@UOAdvocates
·
Nov 3","With funding support from U.S. Senators  
@RonWyden
 and Senator Jeff Merkley 
@SenJeffMerkley
 and former Congressman Peter DeFazio 
@RepPeterDeFazio
, the 
@uoregon
 Sustainable City Year Program is returning to partner with the City of Salem for the 2023-24 school year!",,2,,,['https://pbs.twimg.com/media/F98ogI1bkAAqtjX?format=jpg&name=900x900'],https://twitter.com/UOAdvocates/status/1720138401230524427
Sol,@forwardarc,2023-11-02T16:59:09.000Z,"Sol
@forwardarc
·
Nov 3","Israeli settler engaging in ethnic cleansing.
@ChrisMurphyCT
 @CoryBooker
 @JeffMerkley
 @BenCardinforMD
 @SenatorShaheen
 @ChrisCoons
 @timkaine
 @brianschatz
 @ChrisVanHollen
 @TammyDuckworth
 @HouseDemocrats
 @SenateDemsWI",,,1,1,['https://pbs.twimg.com/profile_images/712224903425093632/lF_7usjm_normal.jpg'],https://twitter.com/forwardarc/status/1720123392127545386
KCBY News,@KCBYNews,2023-11-02T16:45:00.000Z,"KCBY News
@KCBYNews
·
Nov 3","On Wednesday, Oregon’s U.S. Senators Jeff Merkley and Ron Wyden, along with others announced more than $36 million in federal investments heading to the ports of Astoria, Coquille Indian Tribe’s Ko’Kwel Wharf, and Newport.  #liveonkcby",,3,10,54,['https://pbs.twimg.com/card_img/1732792406112968704/uEwRg6Lz?format=jpg&name=900x900'],https://twitter.com/KCBYNews/status/1720119829376483485
Henry Kissinger Deathday Stan Account,@ljmontello,2023-11-02T16:09:38.000Z,"Henry Kissinger Deathday Stan Account
@ljmontello
·
Nov 3","So... the first Senator to call for a ceasefire isn't Bernie Sanders, Elizabeth Warren, Kirsten Gillibrand, Jeff Merkley or Ed Markey. 

It was Dick goddamn Durbin.

I seriously hope DSA & progressives are paying fucking attention on this one.

These people don't stand for shit.",,41,345,1.1K,"['https://pbs.twimg.com/profile_images/1267117596542930949/ja591xA4_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1720093978878767104/pu/img/eSyoyF1o3A8iQzHM.jpg']",https://twitter.com/ljmontello/status/1720110931106312322
