UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Yasmina,@yasminalombaert,2023-11-01T22:45:41.000Z,"Yasmina
@yasminalombaert
·
Nov 2","Senator Jack Reed said during a hearing at the Senate Committee on Appropriations, if the United States did not give Ukraine more money, American boots on the ground in Europe could become an inevitability.  Defense Secretary Lloyd Austin agreed with him.

“In one sense, this…
Show more",,30,151,463,[],https://twitter.com/yasminalombaert/status/1719848211895013682
Boston Globe Rhode Island,@Globe_RI,2023-11-01T19:22:38.000Z,"Boston Globe Rhode Island
@Globe_RI
·
Nov 2","Rhode Map: What do Governor Dan McKee and US Senators Jack Reed and Sheldon Whitehouse have in common? They’re all Democrats who continue to have approval ratings of 50 percent or more among their constituents, according to a recent survey.",,,,1,['https://pbs.twimg.com/card_img/1730597054819311616/vWrfRGJD?format=jpg&name=small'],https://twitter.com/Globe_RI/status/1719797114224467979
Patrick (Friends call me 'Trick),@HEAVYDUTYPMC,2023-11-01T18:07:54.000Z,"Patrick (Friends call me 'Trick)
@HEAVYDUTYPMC
·
Nov 2","According to Senate Armed Services Chair, Jack Reed, Tuberville's refusal to confirm top military promotions, that he is using to demand the Pentagon repeal legal abortion, could have contributed to the hospitalization of General Eric Smith, a member of the Joint Chiefs of Staff.",,,4,1,"['https://pbs.twimg.com/profile_images/1570121084476788736/2x2_g5bP_normal.jpg', 'https://pbs.twimg.com/media/F9y8iWxb0AAWDFf?format=jpg&name=900x900']",https://twitter.com/HEAVYDUTYPMC/status/1719778303429448120
John Gibbs,@JohnGib28171194,2023-11-01T17:28:13.000Z,"John Gibbs
@JohnGib28171194
·
Nov 2","https://cnn.com/2023/11/01/politics/schumer-tuberville-military-nominations/index.html?fbclid=PAAabrc2Uv0eVhpJ0mzuzUxqCPpwkxU0nG5SjIfXHejQhDtbzWWAO68mIBpew… ""The resolution, introduced by Senate Armed Services Chair Jack Reed, would allow the promotions to be processed en bloc. Schumer said he will bring it to the floor as soon as it clears the Senate Rules Committee,""",,,,,[],https://twitter.com/JohnGib28171194/status/1719768318955880776
Chuck Schumer,@SenSchumer,2023-11-01T16:29:36.000Z,"Chuck Schumer
@SenSchumer
·
Nov 2","Last night, Senator Jack Reed introduced a resolution to allow the Senate to quickly confirm the military nominees being blocked by Senator Tuberville.

Every day Senator Tuberville continues his blanket holds, our military preparedness is degraded and military families suffer.",,1.1K,1.3K,6K,[],https://twitter.com/SenSchumer/status/1719753567861362989
Connor O'Brien,@connorobrienNH,2023-11-01T16:23:18.000Z,"Connor O'Brien
@connorobrienNH
·
Nov 2","Text of the military promotions resolution Jack Reed filed yesterday. The details:
-allows the Senate to confirm promotions en bloc as one vote
-doesn’t apply to top level nominees, namely Joint Chiefs and combatant commanders
-only lasts through the current Congress",,,5,4,"['https://pbs.twimg.com/media/F93JT5iWAAAAaBl?format=jpg&name=small', 'https://pbs.twimg.com/media/F93JT5VWAAMyrj8?format=jpg&name=small']",https://twitter.com/connorobrienNH/status/1719751980942229992
"Kimberly “Kim” Wexler, MA JD",@KimWexlerMAJD,2023-11-01T14:48:00.000Z,"Kimberly “Kim” Wexler, MA JD
@KimWexlerMAJD
·
Nov 1","Democrat Senator Jack Reed Says Give Ukraine Money Or American Troops Could End Up There — And Defense Secretary Austin Agrees 

31OCT23",,19,10,16,['https://pbs.twimg.com/card_img/1732964724567064576/OW1eWYrT?format=jpg&name=900x900'],https://twitter.com/KimWexlerMAJD/status/1719727998302077197
Connor O'Brien,@connorobrienNH,2023-11-01T14:23:43.000Z,"Connor O'Brien
@connorobrienNH
·
Nov 1",Schumer says he'll bring a resolution introduced yesterday by Armed Services Chair Jack Reed up for a vote soon to allow the Senate to confirm military promotions in large packages. Unclear if any Rs will support it.,,4,74,277,[],https://twitter.com/connorobrienNH/status/1719721886613913736
GigiN,@ginan4816,2023-11-01T13:26:08.000Z,"GigiN
@ginan4816
·
Nov 1","“In one sense, this comes down to a choice between lending them [the Ukrainians] the tools to do the job, or seeing young Americans facing combat [in Europe],” Sen Jack Reed said, according to CNN’s Haley Britzky.
So we are “lending”to them? They gonna pay back our billions ?",,,,,[],https://twitter.com/ginan4816/status/1719707395562070145
Shannara Johnson,@shannara13,2023-11-01T13:06:54.000Z,"Shannara Johnson
@shannara13
·
Nov 1","ADMIN: IT’S EITHER FUND UKRAINE OR SEND OUR TROOPS  Sen. Jack Reed, D-RI, suggested during a Tuesday hearing that if the U.S. does not send money to Ukraine, American soldiers will have to fight there. Defense Secretary Lloyd Austin agreed. It “comes down to a choice between…
Show more",,,,,[],https://twitter.com/shannara13/status/1719702557310747041
RealClearDefense,@RCDefense,2023-11-01T13:03:00.000Z,"RealClearDefense
@RCDefense
·
Nov 1","Reed: Tuberville Military Holds May Have Contributed to Marine Commandant’s Hospitalization via 
@politico
 by 
@reporterjoe
 and 
@connorobrienNH
 #MilitaryHolds #JackReed #USMarineCorps",,2,1,,['https://pbs.twimg.com/card_img/1732122473733193728/FREqnoji?format=jpg&name=900x900'],https://twitter.com/RCDefense/status/1719701573691965823
LiveTube Alerts,@livetubealerts,2023-11-01T10:33:33.000Z,"LiveTube Alerts
@livetubealerts
·
Nov 1",Video: ‘They Don’t Read The Wall Street Journal’: Jack Reed Slams House GOP For Proposed Defunding Of IRS https://livetube.tv/news/video-they-dont-read-the-wall-street-journal-jack-reed-slams-house-gop-for-proposed-defunding-of-irs?utm_source=rss&utm_medium=rss&utm_campaign=video-they-dont-read-the-wall-street-journal-jack-reed-slams-house-gop-for-proposed-defunding-of-irs… #LiveTube,,1,,,[],https://twitter.com/livetubealerts/status/1719663963657449694
peacenotwar786,@peacenotwar786,2023-11-02T23:42:25.000Z,"peacenotwar786
@peacenotwar786
·
Nov 3","Protesters Hold Die-in in Office of Senate Armed Services Committee Chair Jack Reed https://democracynow.org/2023/11/2/headlines/protesters_hold_die_in_in_office_of_senate_armed_services_committee_chair_jack_reed… via 
@democracynow
 
#Protests #Demonstration 
 #israel #IsraelTerrorism 
#USA #America 
#zUSATERRORISM ",🛑 ✡ 🖤 👿 ☠,,2,4,[],https://twitter.com/peacenotwar786/status/1720224875766325401
